pattern,gradient_axis_degrees,condition,blur_model,defocus_radius,motion_length,motion_angle_degrees,relative_motion_angle_degrees,noise_std,trial,seed,metric,score,matched_sharp_score,ratio_to_matched_sharp
grating_0,0,identity,identity,0,,,,0,0,20261101,laplacian_variance,148.979477,148.979477,1.000000
grating_0,0,identity,identity,0,,,,0,0,20261101,tenengrad_energy,56557.937500,56557.937500,1.000000
grating_0,0,defocus_r1,disk_defocus,1,,,,0,0,20261101,laplacian_variance,135.905273,148.979477,0.912242
grating_0,0,defocus_r1,disk_defocus,1,,,,0,0,20261101,tenengrad_energy,53213.125000,56557.937500,0.940860
grating_0,0,defocus_r2,disk_defocus,2,,,,0,0,20261101,laplacian_variance,121.384521,148.979477,0.814773
grating_0,0,defocus_r2,disk_defocus,2,,,,0,0,20261101,tenengrad_energy,47742.750000,56557.937500,0.844139
grating_0,0,defocus_r3,disk_defocus,3,,,,0,0,20261101,laplacian_variance,98.316406,148.979477,0.659933
grating_0,0,defocus_r3,disk_defocus,3,,,,0,0,20261101,tenengrad_energy,38908.625000,56557.937500,0.687943
grating_0,0,defocus_r5,disk_defocus,5,,,,0,0,20261101,laplacian_variance,47.162537,148.979477,0.316571
grating_0,0,defocus_r5,disk_defocus,5,,,,0,0,20261101,tenengrad_energy,18560.125000,56557.937500,0.328161
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,0,0,20261101,laplacian_variance,113.015121,148.979477,0.758595
grating_0,0,motion_l5_a0,linear_motion,,5,0,0,0,0,20261101,tenengrad_energy,44476.562500,56557.937500,0.786389
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,0,0,20261101,laplacian_variance,125.587646,148.979477,0.842986
grating_0,0,motion_l5_a45,linear_motion,,5,45,45,0,0,20261101,tenengrad_energy,49408.000000,56557.937500,0.873582
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,0,0,20261101,laplacian_variance,148.979477,148.979477,1.000000
grating_0,0,motion_l5_a90,linear_motion,,5,90,90,0,0,20261101,tenengrad_energy,56557.937500,56557.937500,1.000000
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,0,0,20261101,laplacian_variance,125.587646,148.979477,0.842986
grating_0,0,motion_l5_a135,linear_motion,,5,135,45,0,0,20261101,tenengrad_energy,49408.000000,56557.937500,0.873582
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,0,0,20261101,laplacian_variance,55.232849,148.979477,0.370741
grating_0,0,motion_l9_a0,linear_motion,,9,0,0,0,0,20261101,tenengrad_energy,21883.250000,56557.937500,0.386917
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,0,0,20261101,laplacian_variance,89.602036,148.979477,0.601439
grating_0,0,motion_l9_a45,linear_motion,,9,45,45,0,0,20261101,tenengrad_energy,35440.187500,56557.937500,0.626617
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,0,0,20261101,laplacian_variance,148.979477,148.979477,1.000000
grating_0,0,motion_l9_a90,linear_motion,,9,90,90,0,0,20261101,tenengrad_energy,56557.937500,56557.937500,1.000000
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,0,0,20261101,laplacian_variance,89.602036,148.979477,0.601439
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,0,0,20261101,tenengrad_energy,35440.187500,56557.937500,0.626617
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,0,0,20261101,laplacian_variance,2.675766,148.979477,0.017961
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,0,0,20261101,tenengrad_energy,972.812500,56557.937500,0.017200
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,0,0,20261101,laplacian_variance,30.909409,148.979477,0.207474
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,0,0,20261101,tenengrad_energy,12224.312500,56557.937500,0.216138
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,0,0,20261101,laplacian_variance,148.979477,148.979477,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,0,0,20261101,tenengrad_energy,56557.937500,56557.937500,1.000000
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,0,0,20261101,laplacian_variance,30.909409,148.979477,0.207474
