contract_version,graph_id,edge_id,dependent_node_id,dependency_node_id,relation_type
1.0.0,explicit_plate,e1,profile,datum_xy,located_on
1.0.0,explicit_plate,e2,profile,width,uses_parameter
1.0.0,explicit_plate,e3,profile,height,uses_parameter
1.0.0,explicit_plate,e4,extrude,profile,uses_profile
1.0.0,explicit_plate,e5,extrude,thickness,uses_parameter
1.0.0,explicit_plate,e6,result,extrude,generated_by
1.0.0,explicit_plate_with_hole,e1,profile,datum_xy,located_on
1.0.0,explicit_plate_with_hole,e2,profile,width,uses_parameter
1.0.0,explicit_plate_with_hole,e3,profile,height,uses_parameter
1.0.0,explicit_plate_with_hole,e4,extrude,profile,uses_profile
1.0.0,explicit_plate_with_hole,e5,extrude,thickness,uses_parameter
1.0.0,explicit_plate_with_hole,e6,hole,extrude,modifies_result_of
1.0.0,explicit_plate_with_hole,e7,hole,hole_x,uses_parameter
1.0.0,explicit_plate_with_hole,e8,hole,hole_y,uses_parameter
1.0.0,explicit_plate_with_hole,e9,hole,hole_radius,uses_parameter
1.0.0,explicit_plate_with_hole,e10,result,hole,generated_by
1.0.0,explicit_stepped_prism,e1,profile,datum_xz,located_on
1.0.0,explicit_stepped_prism,e2,profile,length,uses_parameter
1.0.0,explicit_stepped_prism,e3,profile,lower_height,uses_parameter
1.0.0,explicit_stepped_prism,e4,profile,step_height,uses_parameter
1.0.0,explicit_stepped_prism,e5,profile,step_position,uses_parameter
1.0.0,explicit_stepped_prism,e6,extrude,profile,uses_profile
1.0.0,explicit_stepped_prism,e7,extrude,depth,uses_parameter
1.0.0,explicit_stepped_prism,e8,result,extrude,generated_by
1.0.0,imported_hole_candidate,e1,face_graph,input,measured_from
1.0.0,imported_hole_candidate,e2,hole_candidate,face_graph,supported_by
