contract_version,graph_id,graph_revision,graph_kind,graph_fingerprint_sha256,node_id,node_type,name,attributes_json,provenance
1.0.0,explicit_plate,1,explicit_construction,fc0e55dc7dee9bf143178c8913ef00a5c4271a41e396484acff44cbed8fb1653,datum_xy,datum_plane,XY datum,"{""normal"":""0|0|1"",""origin"":""0|0|0""}",explicit repository parametric construction
1.0.0,explicit_plate,1,explicit_construction,fc0e55dc7dee9bf143178c8913ef00a5c4271a41e396484acff44cbed8fb1653,width,parameter,Plate width,"{""unit"":""mm"",""value"":12.0}",explicit repository parametric construction
1.0.0,explicit_plate,1,explicit_construction,fc0e55dc7dee9bf143178c8913ef00a5c4271a41e396484acff44cbed8fb1653,height,parameter,Plate height,"{""unit"":""mm"",""value"":8.0}",explicit repository parametric construction
1.0.0,explicit_plate,1,explicit_construction,fc0e55dc7dee9bf143178c8913ef00a5c4271a41e396484acff44cbed8fb1653,thickness,parameter,Plate thickness,"{""unit"":""mm"",""value"":2.0}",explicit repository parametric construction
1.0.0,explicit_plate,1,explicit_construction,fc0e55dc7dee9bf143178c8913ef00a5c4271a41e396484acff44cbed8fb1653,profile,sketch,Rectangle profile,"{""closed"":true,""primitive"":""rectangle""}",explicit repository parametric construction
1.0.0,explicit_plate,1,explicit_construction,fc0e55dc7dee9bf143178c8913ef00a5c4271a41e396484acff44cbed8fb1653,extrude,feature,Pad,"{""direction"":""0|0|1"",""operation"":""extrusion""}",explicit repository parametric construction
1.0.0,explicit_plate,1,explicit_construction,fc0e55dc7dee9bf143178c8913ef00a5c4271a41e396484acff44cbed8fb1653,result,result,Plate B-Rep,"{""representation"":""TopoDS_Shape""}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,datum_xy,datum_plane,XY datum,"{""normal"":""0|0|1"",""origin"":""0|0|0""}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,width,parameter,Plate width,"{""unit"":""mm"",""value"":12.0}",explicit repository parametric construction
1.0.0,explicit_plate_with_hole,1,explicit_construction,20fa4966d1578395c93af05d0bf6e3347117dead553eff8cfdca15dd89dbfe85,height,parameter,Plate height,"{""unit"":""mm"",""value"":8.0}",explicit repository parametric construction
