platform_label,stage,face_id,edge_index,wire_use_index,boundary_role,orientation,pcurve_type,parameter_first,parameter_last,vertex_start_parameter,vertex_end_parameter,uv_start_u,uv_start_v,uv_mid_u,uv_mid_v,uv_end_u,uv_end_v,uv_max_absolute_error,range_alignment_error,max_pcurve_to_curve_distance,sample_count
linux-x64-reference,constructed,planar_rectangle,1,1,u_min,reversed,line,-1,2,2,-1,-2,-1,-2,0.5,-2,2,0,0,0,17
linux-x64-reference,constructed,planar_rectangle,2,2,v_min,forward,line,-2,3,-2,3,-2,-1,0.5,-1,3,-1,0,0,0,17
linux-x64-reference,constructed,planar_rectangle,3,3,u_max,forward,line,-1,2,-1,2,3,-1,3,0.5,3,2,0,0,0,17
linux-x64-reference,constructed,planar_rectangle,4,4,v_max,reversed,line,-2,3,3,-2,-2,2,0.5,2,3,2,0,0,0,17
linux-x64-reference,constructed,partial_cylinder,1,1,u_min,reversed,line,-1,3.5,3.5,-1,0.25,-1,0.25,1.25,0.25,3.5,0,0,0,17
linux-x64-reference,constructed,partial_cylinder,2,2,v_min,forward,line,0.25,1.75,0.25,1.75,0.25,-1,1,-1,1.75,-1,0,0,0,17
linux-x64-reference,constructed,partial_cylinder,3,3,u_max,forward,line,-1,3.5,-1,3.5,1.75,-1,1.75,1.25,1.75,3.5,0,0,0,17
linux-x64-reference,constructed,partial_cylinder,4,4,v_max,reversed,line,0.25,1.75,1.75,0.25,0.25,3.5,1,3.5,1.75,3.5,0,0,0,17
linux-x64-reference,constructed,closed_cylinder,1,1,u_min,reversed,line,0,4,4,0,0,0,0,2,0,4,0,0,0,17
linux-x64-reference,constructed,closed_cylinder,1,3,u_max,forward,line,0,4,0,4,6.2831853071795862,0,6.2831853071795862,2,6.2831853071795862,4,0,0,7.3478807948841188e-16,17
linux-x64-reference,constructed,closed_cylinder,2,2,v_min,forward,line,0,6.2831853071795862,0,6.2831853071795862,0,0,3.1415926535897931,0,6.2831853071795862,0,0,0,0,17
linux-x64-reference,constructed,closed_cylinder,3,4,v_max,reversed,line,0,6.2831853071795862,6.2831853071795862,0,0,4,3.1415926535897931,4,6.2831853071795862,4,0,0,0,17
linux-x64-reference,step_imported,planar_rectangle,1,1,u_min,reversed,line,-1,2,2,-1,-2,-1,-2,0.5,-2,2,0,0,0,17
linux-x64-reference,step_imported,planar_rectangle,2,2,v_min,forward,line,-2,3,-2,3,-2,-1,0.5,-1,3,-1,0,0,0,17
linux-x64-reference,step_imported,planar_rectangle,3,3,u_max,forward,line,-1,2,-1,2,3,-1,3,0.5,3,2,0,0,0,17
linux-x64-reference,step_imported,planar_rectangle,4,4,v_max,reversed,line,-2,3,3,-2,-2,2,0.5,2,3,2,0,0,0,17
linux-x64-reference,step_imported,partial_cylinder,1,1,u_min,reversed,line,-1,3.5,3.5,-1,0.25,-1,0.25,1.25,0.25,3.5,0,0,2.9315423723570336e-13,17
linux-x64-reference,step_imported,partial_cylinder,2,2,v_min,forward,line,0.25000000000001366,1.7499999999999962,0.25000000000001366,1.7499999999999962,0.25000000000001366,-1,1.0000000000000049,-1,1.7499999999999962,-1,1.3655743202889425e-14,0,0,17
linux-x64-reference,step_imported,partial_cylinder,3,3,u_max,forward,line,-1,3.5,-1,3.5,1.75,-1,1.75,1.25,1.75,3.5,0,0,1.2713057156391649e-13,17
linux-x64-reference,step_imported,partial_cylinder,4,4,v_max,reversed,line,0.25000000000001366,1.7499999999999962,1.7499999999999962,0.25000000000001366,0.25000000000001366,3.5,1.0000000000000049,3.5,1.7499999999999962,3.5,1.3655743202889425e-14,0,0,17
linux-x64-reference,step_imported,closed_cylinder,1,1,u_min,reversed,line,0,4,4,0,0,0,0,2,0,4,0,0,0,17
linux-x64-reference,step_imported,closed_cylinder,1,3,u_max,forward,line,0,4,0,4,6.2831853071800001,0,6.2831853071800001,2,6.2831853071800001,4,4.1389114358025836e-13,0,1.2409386426612867e-12,17
linux-x64-reference,step_imported,closed_cylinder,2,2,v_min,forward,line,0,6.2831853071795862,0,6.2831853071795862,0,0,3.1415926535897931,0,6.2831853071795862,0,0,0,0,17
linux-x64-reference,step_imported,closed_cylinder,3,4,v_max,reversed,line,0,6.2831853071795862,6.2831853071795862,0,0,4,3.1415926535897931,4,6.2831853071795862,4,0,0,0,17
