pipeline,pipeline_description,noise_std,metric,calibration_source,anchor_observations,balanced_accuracy,sharp_false_blur_count,sharp_false_blur_rate,blurred_miss_count,blurred_miss_rate,adjacent_pair_count,adjacent_order_violation_count,adjacent_order_violation_rate,sequence_count,fully_ordered_sequence_rate
identity,BGR-to-grayscale conversion only,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
identity,BGR-to-grayscale conversion only,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
identity,BGR-to-grayscale conversion only,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,0,0.000000,10,0.333333,90,4,0.044444,30,0.866667
identity,BGR-to-grayscale conversion only,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
identity,BGR-to-grayscale conversion only,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.666667,0,0.000000,20,0.666667,90,17,0.188889,30,0.533333
identity,BGR-to-grayscale conversion only,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,0,0.000000,10,0.333333,90,0,0.000000,30,1.000000
brightness_minus_30,Grayscale linear transform with beta -30,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
brightness_minus_30,Grayscale linear transform with beta -30,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
brightness_minus_30,Grayscale linear transform with beta -30,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,0,0.000000,10,0.333333,90,4,0.044444,30,0.866667
brightness_minus_30,Grayscale linear transform with beta -30,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.666667,0,0.000000,20,0.666667,90,17,0.188889,30,0.533333
brightness_minus_30,Grayscale linear transform with beta -30,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,0,0.000000,10,0.333333,90,0,0.000000,30,1.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
brightness_plus_30,Grayscale linear transform with beta +30,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,0,0.000000,10,0.333333,90,4,0.044444,30,0.866667
brightness_plus_30,Grayscale linear transform with beta +30,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
brightness_plus_30,Grayscale linear transform with beta +30,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.666667,0,0.000000,20,0.666667,90,17,0.188889,30,0.533333
