pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std,zero_fraction_mean,full_scale_fraction_mean
identity,BGR-to-grayscale conversion only,0,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
identity,BGR-to-grayscale conversion only,0,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
identity,BGR-to-grayscale conversion only,0,1,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.049775,0.011008,0.000000,0.000000
identity,BGR-to-grayscale conversion only,0,1,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.477597,0.046689,0.000000,0.000000
identity,BGR-to-grayscale conversion only,0,2,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.009725,0.001439,0.000000,0.000000
identity,BGR-to-grayscale conversion only,0,2,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.230827,0.068071,0.000000,0.000000
identity,BGR-to-grayscale conversion only,0,3,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.004803,0.002381,0.000000,0.000000
identity,BGR-to-grayscale conversion only,0,3,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.117670,0.067828,0.000000,0.000000
identity,BGR-to-grayscale conversion only,5,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.368144,0.428710,0.000000,0.000000
identity,BGR-to-grayscale conversion only,5,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.059230,0.073538,0.000000,0.000000
identity,BGR-to-grayscale conversion only,5,1,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.414584,0.418417,0.000000,0.000000
identity,BGR-to-grayscale conversion only,5,1,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.534513,0.111644,0.000000,0.000000
identity,BGR-to-grayscale conversion only,5,2,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.375206,0.430429,0.000000,0.000000
