pipeline,pipeline_description,noise_std,metric,calibration_source,anchor_observations,balanced_accuracy,sharp_false_blur_count,sharp_false_blur_rate,blurred_miss_count,blurred_miss_rate,adjacent_pair_count,adjacent_order_violation_count,adjacent_order_violation_rate,sequence_count,fully_ordered_sequence_rate
identity,No preprocessing,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
identity,No preprocessing,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
identity,No preprocessing,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
identity,No preprocessing,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
identity,No preprocessing,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,20,0.222222,30,0.666667
identity,No preprocessing,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q95,JPEG quality 95 round trip,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q95,JPEG quality 95 round trip,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q95,JPEG quality 95 round trip,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q95,JPEG quality 95 round trip,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q95,JPEG quality 95 round trip,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,20,0.222222,30,0.666667
jpeg_q95,JPEG quality 95 round trip,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q75,JPEG quality 75 round trip,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q75,JPEG quality 75 round trip,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q75,JPEG quality 75 round trip,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q75,JPEG quality 75 round trip,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q75,JPEG quality 75 round trip,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,23,0.255556,30,0.566667
jpeg_q75,JPEG quality 75 round trip,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q50,JPEG quality 50 round trip,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q50,JPEG quality 50 round trip,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q50,JPEG quality 50 round trip,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q50,JPEG quality 50 round trip,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_q50,JPEG quality 50 round trip,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,10,0.111111,30,0.666667
jpeg_q50,JPEG quality 50 round trip,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,10,0.333333,0,0.000000,90,0,0.000000,30,1.000000
