pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std
identity,No preprocessing,0,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000
identity,No preprocessing,0,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000
identity,No preprocessing,0,1,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.048873,0.012095
identity,No preprocessing,0,1,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.472182,0.042579
identity,No preprocessing,0,2,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.008616,0.001655
identity,No preprocessing,0,2,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.185510,0.055228
identity,No preprocessing,0,3,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.002566,0.001657
identity,No preprocessing,0,3,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.060143,0.044078
identity,No preprocessing,5,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.989251,0.018794
identity,No preprocessing,5,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.980592,0.015927
identity,No preprocessing,5,1,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.065640,0.015339
identity,No preprocessing,5,1,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.471692,0.043171
identity,No preprocessing,5,2,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.028391,0.009936
identity,No preprocessing,5,2,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.187621,0.055409
identity,No preprocessing,5,3,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.022509,0.010166
identity,No preprocessing,5,3,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.062287,0.044221
identity,No preprocessing,15,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.025913,0.074510
identity,No preprocessing,15,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.948640,0.049461
identity,No preprocessing,15,1,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.183849,0.041723
identity,No preprocessing,15,1,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.476168,0.049135
identity,No preprocessing,15,2,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.177610,0.065150
identity,No preprocessing,15,2,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.202726,0.055039
identity,No preprocessing,15,3,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.180558,0.076904
identity,No preprocessing,15,3,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.079213,0.045437
jpeg_q95,JPEG quality 95 round trip,0,0,laplacian_variance,30,1.001641,0.002360,1.000000,1.000000,1.004922,1.001641,0.002360
jpeg_q95,JPEG quality 95 round trip,0,0,tenengrad_energy,30,1.000495,0.000712,1.000000,1.000000,1.001486,1.000495,0.000712
jpeg_q95,JPEG quality 95 round trip,0,1,laplacian_variance,30,1.013672,0.009926,1.000759,1.015909,1.024348,0.049433,0.011831
jpeg_q95,JPEG quality 95 round trip,0,1,tenengrad_energy,30,0.999922,0.000615,0.999069,1.000295,1.000403,0.472171,0.042848
jpeg_q95,JPEG quality 95 round trip,0,2,laplacian_variance,30,1.030676,0.021494,1.001093,1.041790,1.049145,0.008847,0.001504
jpeg_q95,JPEG quality 95 round trip,0,2,tenengrad_energy,30,1.000903,0.000650,1.000364,1.000545,1.001801,0.185653,0.055185
jpeg_q95,JPEG quality 95 round trip,0,3,laplacian_variance,30,1.070669,0.050468,1.002459,1.090500,1.119048,0.002673,0.001597
jpeg_q95,JPEG quality 95 round trip,0,3,tenengrad_energy,30,1.003846,0.003727,1.000131,1.002574,1.008832,0.060266,0.044006
jpeg_q95,JPEG quality 95 round trip,5,0,laplacian_variance,30,0.998555,0.005414,0.994269,0.995264,1.006110,0.987917,0.024076
jpeg_q95,JPEG quality 95 round trip,5,0,tenengrad_energy,30,0.996875,0.002900,0.994801,0.994909,1.000937,0.977572,0.018752
jpeg_q95,JPEG quality 95 round trip,5,1,laplacian_variance,30,1.052151,0.017756,1.037727,1.040742,1.077480,0.068862,0.015337
jpeg_q95,JPEG quality 95 round trip,5,1,tenengrad_energy,30,0.999359,0.001242,0.998174,0.998822,1.001061,0.471409,0.043361
jpeg_q95,JPEG quality 95 round trip,5,2,laplacian_variance,30,1.163346,0.010003,1.151478,1.163646,1.177977,0.033107,0.011840
jpeg_q95,JPEG quality 95 round trip,5,2,tenengrad_energy,30,1.001498,0.000582,1.000869,1.001353,1.002300,0.187882,0.055402
jpeg_q95,JPEG quality 95 round trip,5,3,laplacian_variance,30,1.215230,0.009705,1.199854,1.215755,1.227515,0.027292,0.012165
jpeg_q95,JPEG quality 95 round trip,5,3,tenengrad_energy,30,1.005177,0.002995,1.001853,1.004610,1.009078,0.062506,0.044230
jpeg_q95,JPEG quality 95 round trip,15,0,laplacian_variance,30,0.998301,0.004114,0.995291,0.995617,1.004247,1.024448,0.078528
jpeg_q95,JPEG quality 95 round trip,15,0,tenengrad_energy,30,0.995537,0.003270,0.993216,0.993307,1.000095,0.944563,0.052452
jpeg_q95,JPEG quality 95 round trip,15,1,laplacian_variance,30,1.016930,0.006662,1.010541,1.013879,1.026414,0.186857,0.041794
jpeg_q95,JPEG quality 95 round trip,15,1,tenengrad_energy,30,0.998168,0.001919,0.996366,0.997296,1.000794,0.475347,0.049585
jpeg_q95,JPEG quality 95 round trip,15,2,laplacian_variance,30,1.028729,0.003601,1.023443,1.029587,1.032968,0.182535,0.066383
jpeg_q95,JPEG quality 95 round trip,15,2,tenengrad_energy,30,1.000923,0.001318,0.999190,1.001137,1.002481,0.202858,0.054828
jpeg_q95,JPEG quality 95 round trip,15,3,laplacian_variance,30,1.032541,0.001877,1.030448,1.032339,1.034864,0.186446,0.079440
jpeg_q95,JPEG quality 95 round trip,15,3,tenengrad_energy,30,1.004691,0.002069,1.002177,1.004579,1.007247,0.079509,0.045456
