contract_version,stage,control_id,source_file,source_sha256,construction_parameters,vertex_count,edge_count,face_count,shell_count,solid_count,absolute_volume,expected_volume,volume_absolute_error,surface_area,expected_surface_area,surface_area_absolute_error,surface_centroid_x,surface_centroid_y,surface_centroid_z,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,maximum_vertex_tolerance,maximum_edge_tolerance,maximum_face_tolerance,surface_counts,support_parameters,surface_inventory_matches,solid_count_matches,analyzer_valid,step_entity_count,step_advanced_face_count
1.0.0,constructed,primitive_box,,,length_x:4.0|length_y:3.0|length_z:2.0,8,12,6,1,1,23.999999999999996,24,3.5527136788005009e-15,52,52,0,2,1.5,1,-9.9999999999999995e-08,-9.9999999999999995e-08,-9.9999999999999995e-08,4.0000001000000003,3.0000000999999998,2.0000000999999998,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,plane:6,,1,1,1,,
1.0.0,step_imported,primitive_box,primitive_box.step,6658dc9001c95aca2201a397758bd0446fd5853c8d19ccd70bd833c73c54ece7,length_x:4.0|length_y:3.0|length_z:2.0,8,12,6,1,1,23.999999999999996,24,3.5527136788005009e-15,52,52,0,2,1.5,1,-9.9999999999999995e-08,-9.9999999999999995e-08,-9.9999999999999995e-08,4.0000001000000003,3.0000000999999998,2.0000000999999998,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,plane:6,,1,1,1,1,6
1.0.0,constructed,primitive_cylinder,,,radius:2.0|height:5.0,2,3,3,1,1,62.831853071795848,62.831853071795862,1.4210854715202004e-14,87.964594300514207,87.964594300514207,0,0,-1.1108494639989819e-16,2.5,-2.0000000999999998,-2.0000000999999998,-9.9999999999999995e-08,2.0000000999999998,2.0000000999999998,5.0000001000000003,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,plane:2|cylinder:1,cylinder:2,1,1,1,,
1.0.0,step_imported,primitive_cylinder,primitive_cylinder.step,adaa033082176dcbd893d7c060bdcde81f994236709b8a159eec773c357da4a6,radius:2.0|height:5.0,2,3,3,1,1,62.831853071795848,62.831853071795862,1.4210854715202004e-14,87.964594300518343,87.964594300514207,4.1353587221237831e-12,9.3893147225443585e-14,-4.3167424594870636e-17,2.4999999999999996,-2.0000000999999998,-2.0000000999999998,-9.9999999999999995e-08,2.0000000999999998,2.0000000999999998,5.0000001000000003,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,plane:2|cylinder:1,cylinder:2,1,1,1,1,3
1.0.0,constructed,primitive_cone,,,base_radius:3.0|top_radius:1.0|height:4.0,2,3,3,1,1,54.454272662223076,54.454272662223083,7.1054273576010019e-15,87.614444384223731,87.614444384223745,1.4210854715202004e-14,1.5216268602692434e-16,-1.5030931664342892e-16,1.2124777800607027,-3.0000000999999998,-3.0000000999999998,-9.9999999999999995e-08,3.0000000999999998,3.0000000999999998,4.0000001000000012,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,plane:2|cone:1,"cone:3,-0.46364760900080609",1,1,1,,
1.0.0,step_imported,primitive_cone,primitive_cone.step,f2842e6bb527afd609c36d6b7d82a197d14fcdda50cedd7816cd63d892d5e132,base_radius:3.0|top_radius:1.0|height:4.0,2,3,3,1,1,54.454272662205199,54.454272662223083,1.7884360659081722e-11,87.614444384216554,87.614444384223745,7.1906924858922139e-12,9.1937334999909796e-14,-1.619865094784249e-16,1.2124777800604376,-3.0000000999999998,-3.0000000999999998,-9.9999999999999995e-08,3.0000000999999998,3.0000000999999998,4.0000001000000003,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,plane:2|cone:1,"cone:3,0.46364760900099999",1,1,1,1,3
1.0.0,constructed,primitive_sphere,,,radius:2.5,2,3,1,1,1,65.449846949787357,65.449846949787357,0,78.539816339744803,78.539816339744831,2.8421709430404007e-14,-4.1342272958711506e-17,-7.288743603032316e-17,7.9936057773011305e-17,-2.5000000999999998,-2.5000000999999998,-2.5000000999999998,2.5000000999999998,2.5000000999999998,2.5000000999999998,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,sphere:1,sphere:2.5,1,1,1,,
1.0.0,step_imported,primitive_sphere,primitive_sphere.step,063c9e6c4b4e85ffe0352b34b14608ac9df3fade0e12dda3fdd470f338ba6a1e,radius:2.5,2,3,1,1,1,65.449846949787371,65.449846949787357,1.4210854715202004e-14,78.539816339744803,78.539816339744831,2.8421709430404007e-14,-1.3180886212581044e-16,-2.7194315033461986e-17,3.5527136788005022e-17,-2.5000000999999998,-2.5000000999999998,-2.5000000999999998,2.5000000999999998,2.5000000999999998,2.5000000999999998,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,sphere:1,sphere:2.5,1,1,1,1,1
1.0.0,constructed,primitive_torus,,,major_radius:4.0|minor_radius:1.0,1,2,1,1,1,78.956835208714864,78.956835208714864,0,157.91367041742976,157.91367041742973,2.8421709430404007e-14,8.8817841970012523e-16,2.7389869638907264e-17,2.4534300683410605e-17,-5.4119611014619702,-5.4119611014619702,-1.0000001000000001,5.4119611014619702,5.4119611014619702,1.0000001000000001,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,torus:1,"torus:4,1",1,1,1,,
1.0.0,step_imported,primitive_torus,primitive_torus.step,163ae8bc3155ac55f0fdc35bcab9b8f4102cabd8c2d886566eda51f1c1a9f104,major_radius:4.0|minor_radius:1.0,1,2,1,1,1,78.956835208717905,78.956835208714864,3.0411229090532288e-12,157.91367041744007,157.91367041742973,1.0345502232667059e-11,2.6911806116913795e-13,4.2135019185064126e-17,-1.0805195777339739e-17,-5.4119611014619702,-5.4119611014619702,-1.0000001000000001,5.4119611014619702,5.4119611014619702,1.0000001000000001,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,torus:1,"torus:4,1",1,1,1,1,1
