contract_version,control_id,input_sha256,payload_sha256,decision,reason_code,terminal_stage,expectation_met,token_count,entity_count,reference_count,external_reference_count,edge_count,face_count,triangle_count
1.0.0,accepted_step,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,accept,intake_accepted,tessellation,1,6104,361,416,0,12,6,12
1.0.0,file_byte_limit,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,,reject,file_byte_limit,preflight,1,,,,,,,
1.0.0,token_limit,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,quarantine,token_count_limit,parser,1,,,,,,,
1.0.0,entity_limit,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,quarantine,entity_count_limit,parser,1,,,,,,,
1.0.0,reference_limit,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,quarantine,reference_count_limit,parser,1,,,,,,,
1.0.0,external_reference_disabled,8a6022e98922e5ffa7e592e823e056c816c315a464e9ad5da015cde0feafc9e5,8a6022e98922e5ffa7e592e823e056c816c315a464e9ad5da015cde0feafc9e5,quarantine,external_resolution_disabled,external_policy,1,77,1,1,1,,,
1.0.0,accepted_archive,8130b65c83f8d4cb149227c45a4eee196c1ac63804cfe2f8a219cb9916115d15,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,accept,intake_accepted,tessellation,1,6104,361,416,0,12,6,12
1.0.0,archive_expanded_limit,7df1d8af1bc72fcd091bc0ab47975955553a3fdbc523ac8fcf0b966d30600cc2,,reject,archive_expanded_byte_limit,preflight,1,,,,,,,
1.0.0,nested_archive,13b1488e64385e3f976ce9e6534c18fa73ffc004e950bb5a3cb769b7e0e301cb,,reject,archive_depth_limit,preflight,1,,,,,,,
1.0.0,unsafe_archive_path,eb153d74c5e45b8cdcde44d3737e49dd781f0ee23b5332ca728887ff8970b94d,,reject,unsafe_archive_member_path,preflight,1,,,,,,,
1.0.0,topology_face_limit,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,reject,topology_face_limit,kernel,1,6104,361,416,0,12,6,
1.0.0,mesh_triangle_limit,2f06ad82f1661540504d6670780d13179b44f3c45179d4cfbc41ff1d3ca5fb3a,2f06ad82f1661540504d6670780d13179b44f3c45179d4cfbc41ff1d3ca5fb3a,reject,mesh_triangle_limit,tessellation,1,7793,457,531,0,15,7,120
1.0.0,kernel_timeout,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,quarantine,kernel_timeout,kernel,1,6104,361,416,0,,,
