contract_version,control_id,stage,decision,reason_code,observed_value,limit_value,worker_isolated
1.0.0,accepted_step,preflight,continue,raw_step_admitted,15887,2000000,0
1.0.0,accepted_step,parser,continue,part21_parsed,6104,250000,1
1.0.0,accepted_step,external_policy,continue,external_policy_admitted,0,0,0
1.0.0,accepted_step,kernel,continue,topology_admitted,6,1000,1
1.0.0,accepted_step,tessellation,accept,mesh_admitted,12,100000,1
1.0.0,file_byte_limit,preflight,reject,file_byte_limit,15887,100,0
1.0.0,file_byte_limit,parser,not_run,earlier_stage_stopped,,,0
1.0.0,file_byte_limit,external_policy,not_run,earlier_stage_stopped,,,0
1.0.0,file_byte_limit,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,file_byte_limit,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,token_limit,preflight,continue,raw_step_admitted,15887,2000000,0
1.0.0,token_limit,parser,quarantine,token_count_limit,,100,1
1.0.0,token_limit,external_policy,not_run,earlier_stage_stopped,,,0
1.0.0,token_limit,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,token_limit,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,entity_limit,preflight,continue,raw_step_admitted,15887,2000000,0
1.0.0,entity_limit,parser,quarantine,entity_count_limit,,100,1
1.0.0,entity_limit,external_policy,not_run,earlier_stage_stopped,,,0
1.0.0,entity_limit,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,entity_limit,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,reference_limit,preflight,continue,raw_step_admitted,15887,2000000,0
1.0.0,reference_limit,parser,quarantine,reference_count_limit,,100,1
1.0.0,reference_limit,external_policy,not_run,earlier_stage_stopped,,,0
1.0.0,reference_limit,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,reference_limit,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,external_reference_disabled,preflight,continue,raw_step_admitted,337,2000000,0
1.0.0,external_reference_disabled,parser,continue,part21_parsed,77,250000,1
1.0.0,external_reference_disabled,external_policy,quarantine,external_resolution_disabled,1,0,0
1.0.0,external_reference_disabled,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,external_reference_disabled,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,accepted_archive,preflight,continue,archive_admitted,15887,3000000,0
1.0.0,accepted_archive,parser,continue,part21_parsed,6104,250000,1
1.0.0,accepted_archive,external_policy,continue,external_policy_admitted,0,0,0
1.0.0,accepted_archive,kernel,continue,topology_admitted,6,1000,1
1.0.0,accepted_archive,tessellation,accept,mesh_admitted,12,100000,1
1.0.0,archive_expanded_limit,preflight,reject,archive_expanded_byte_limit,35887,10000,0
1.0.0,archive_expanded_limit,parser,not_run,earlier_stage_stopped,,,0
1.0.0,archive_expanded_limit,external_policy,not_run,earlier_stage_stopped,,,0
1.0.0,archive_expanded_limit,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,archive_expanded_limit,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,nested_archive,preflight,reject,archive_depth_limit,1,0,0
1.0.0,nested_archive,parser,not_run,earlier_stage_stopped,,,0
1.0.0,nested_archive,external_policy,not_run,earlier_stage_stopped,,,0
1.0.0,nested_archive,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,nested_archive,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,unsafe_archive_path,preflight,reject,unsafe_archive_member_path,,,0
1.0.0,unsafe_archive_path,parser,not_run,earlier_stage_stopped,,,0
1.0.0,unsafe_archive_path,external_policy,not_run,earlier_stage_stopped,,,0
1.0.0,unsafe_archive_path,kernel,not_run,earlier_stage_stopped,,,0
1.0.0,unsafe_archive_path,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,topology_face_limit,preflight,continue,raw_step_admitted,15887,2000000,0
1.0.0,topology_face_limit,parser,continue,part21_parsed,6104,250000,1
1.0.0,topology_face_limit,external_policy,continue,external_policy_admitted,0,0,0
1.0.0,topology_face_limit,kernel,reject,topology_face_limit,6,5,1
1.0.0,topology_face_limit,tessellation,not_run,earlier_stage_stopped,,,0
1.0.0,mesh_triangle_limit,preflight,continue,raw_step_admitted,20527,2000000,0
1.0.0,mesh_triangle_limit,parser,continue,part21_parsed,7793,250000,1
1.0.0,mesh_triangle_limit,external_policy,continue,external_policy_admitted,0,0,0
1.0.0,mesh_triangle_limit,kernel,continue,topology_admitted,7,1000,1
1.0.0,mesh_triangle_limit,tessellation,reject,mesh_triangle_limit,120,10,1
1.0.0,kernel_timeout,preflight,continue,raw_step_admitted,15887,2000000,0
1.0.0,kernel_timeout,parser,continue,part21_parsed,6104,250000,1
1.0.0,kernel_timeout,external_policy,continue,external_policy_admitted,0,0,0
1.0.0,kernel_timeout,kernel,timeout,kernel_timeout,,0.1,1
1.0.0,kernel_timeout,tessellation,not_run,earlier_stage_stopped,,,0
