comparison,control_id,source_stage,target_stage,source_face_index,target_face_index,source_truth_role,target_truth_role,area_relative_error,centroid_distance,support_offset_error,source_centroid_contained,selected
step_import,asymmetric_prism,constructed,step_imported,1,1,side_0,side_0,0,0,0,1,1
step_import,asymmetric_prism,constructed,step_imported,2,2,side_1,side_1,0,0,0,1,1
step_import,asymmetric_prism,constructed,step_imported,3,3,side_2,side_2,0,0,0,1,1
step_import,asymmetric_prism,constructed,step_imported,4,4,side_3,side_3,0,5.0009366101952708e-13,1.4614975896165561e-12,1,1
step_import,asymmetric_prism,constructed,step_imported,5,5,side_4,side_4,0,0,0,1,1
step_import,asymmetric_prism,constructed,step_imported,6,6,base_bottom,base_bottom,7.351942184293281e-14,2.0380404916936326e-13,0,1,1
step_import,asymmetric_prism,constructed,step_imported,7,7,base_top,base_top,7.351942184293281e-14,2.0380404916936326e-13,0,1,1
step_import,reversed_box,constructed,step_imported,1,1,x_min,x_min,0,0,0,1,1
step_import,reversed_box,constructed,step_imported,2,2,x_max,x_max,0,0,0,1,1
step_import,reversed_box,constructed,step_imported,3,3,y_min,y_min,0,0,0,1,1
step_import,reversed_box,constructed,step_imported,4,4,y_max,y_max,0,0,0,1,1
step_import,reversed_box,constructed,step_imported,5,5,z_min,z_min,0,0,0,1,1
step_import,reversed_box,constructed,step_imported,6,6,z_max,z_max,0,0,0,1,1
step_import,split_box,constructed,step_imported,1,1,x_min,x_min,0,0,0,1,1
step_import,split_box,constructed,step_imported,2,2,y_min_left,y_min_left,0,0,0,1,1
step_import,split_box,constructed,step_imported,3,3,z_max_left,z_max_left,0,0,0,1,1
step_import,split_box,constructed,step_imported,4,4,y_max_left,y_max_left,0,0,0,1,1
step_import,split_box,constructed,step_imported,5,5,z_min_left,z_min_left,0,0,0,1,1
step_import,split_box,constructed,step_imported,6,6,y_min_right,y_min_right,0,0,0,1,1
step_import,split_box,constructed,step_imported,7,7,z_max_right,z_max_right,0,0,0,1,1
step_import,split_box,constructed,step_imported,8,8,y_max_right,y_max_right,0,0,0,1,1
step_import,split_box,constructed,step_imported,9,9,z_min_right,z_min_right,0,0,0,1,1
step_import,split_box,constructed,step_imported,10,10,x_max,x_max,0,0,0,1,1
step_import,coincident_faces,constructed,step_imported,1,1,coincident,coincident,0,0,0,1,0
step_import,coincident_faces,constructed,step_imported,1,2,coincident,coincident,0,0,0,1,0
step_import,coincident_faces,constructed,step_imported,2,1,coincident,coincident,0,0,0,1,0
step_import,coincident_faces,constructed,step_imported,2,2,coincident,coincident,0,0,0,1,0
same_domain_healing,split_box,step_imported,healed,1,1,x_min,x_min,0,0,0,1,1
same_domain_healing,split_box,step_imported,healed,2,6,y_min_left,y_min,0.59999999999999998,3,0,1,1
same_domain_healing,split_box,step_imported,healed,3,2,z_max_left,z_max,0.59999999999999987,3,0,1,1
same_domain_healing,split_box,step_imported,healed,4,4,y_max_left,y_max,0.59999999999999998,3,0,1,1
same_domain_healing,split_box,step_imported,healed,5,5,z_min_left,z_min,0.59999999999999987,3,0,1,1
same_domain_healing,split_box,step_imported,healed,6,6,y_min_right,y_min,0.40000000000000002,2,0,1,1
same_domain_healing,split_box,step_imported,healed,7,2,z_max_right,z_max,0.39999999999999986,2,0,1,1
same_domain_healing,split_box,step_imported,healed,8,4,y_max_right,y_max,0.40000000000000002,2,0,1,1
same_domain_healing,split_box,step_imported,healed,9,5,z_min_right,z_min,0.39999999999999986,2,0,1,1
same_domain_healing,split_box,step_imported,healed,10,3,x_max,x_max,0,0,0,1,1
