comparison,control_id,source_stage,target_stage,source_edge_index,target_edge_index,source_truth_role,target_truth_role,curve_type_matches,support_error,length_relative_error,endpoint_pair_max_distance,source_endpoints_on_target,source_incident_face_count,target_incident_face_count,incident_face_count_matches,source_incident_face_indices,mapped_source_incident_target_face_indices,target_incident_face_indices,mapped_target_incident_source_face_indices,topology_candidate_supports_geometry,selected
step_import,asymmetric_prism,constructed,step_imported,1,1,"edge_0,0,0__0,0,4","edge_0,0,0__0,0,4",1,0,0,0,1,2,2,1,1|5,1|5,1|5,1|5,1,1
step_import,asymmetric_prism,constructed,step_imported,2,3,"edge_7,0,0__7,0,4","edge_7,0,0__7,0,4",1,0,0,0,1,2,2,1,1|2,1|2,1|2,1|2,1,1
step_import,asymmetric_prism,constructed,step_imported,3,4,"edge_0,0,0__7,0,0","edge_0,0,0__7,0,0",1,0,0,0,1,2,2,1,1|6,1|6,1|6,1|6,1,1
step_import,asymmetric_prism,constructed,step_imported,4,2,"edge_0,0,4__7,0,4","edge_0,0,4__7,0,4",1,0,0,0,1,2,2,1,1|7,1|7,1|7,1|7,1,1
step_import,asymmetric_prism,constructed,step_imported,5,6,"edge_6,3,0__6,3,4","edge_6,3,0__6,3,4",1,0,0,0,1,2,2,1,2|3,2|3,2|3,2|3,1,1
step_import,asymmetric_prism,constructed,step_imported,6,7,"edge_6,3,0__7,0,0","edge_6,3,0__7,0,0",1,4.4408920985006262e-16,1.4043333874306804e-16,4.4408920985006262e-16,1,2,2,1,2|6,2|6,2|6,2|6,1,1
step_import,asymmetric_prism,constructed,step_imported,7,5,"edge_6,3,4__7,0,4","edge_6,3,4__7,0,4",1,4.4408920985006262e-16,1.4043333874306804e-16,4.4408920985006262e-16,1,2,2,1,2|7,2|7,2|7,2|7,1,1
step_import,asymmetric_prism,constructed,step_imported,8,9,"edge_2,5,0__2,5,4","edge_2,5,0__2,5,4",1,0,0,0,1,2,2,1,3|4,3|4,3|4,3|4,1,1
step_import,asymmetric_prism,constructed,step_imported,9,10,"edge_2,5,0__6,3,0","edge_2,5,0__6,3,0",1,8.8817841970012523e-16,1.9860273225978183e-16,8.8817841970012523e-16,1,2,2,1,3|6,3|6,3|6,3|6,1,1
step_import,asymmetric_prism,constructed,step_imported,10,8,"edge_2,5,4__6,3,4","edge_2,5,4__6,3,4",1,8.8817841970012523e-16,1.9860273225978183e-16,8.8817841970012523e-16,1,2,2,1,3|7,3|7,3|7,3|7,1,1
step_import,asymmetric_prism,constructed,step_imported,11,12,"edge_0,2,0__0,2,4","edge_0,2,0__0,2,4",1,0,0,0,1,2,2,1,4|5,4|5,4|5,4|5,1,1
step_import,asymmetric_prism,constructed,step_imported,12,13,"edge_0,2,0__2,5,0","edge_0,2,0__2,5,0",1,1.4933149003107459e-12,1.2316818592266832e-16,9.9981793889183407e-13,1,2,2,1,4|6,4|6,4|6,4|6,1,1
step_import,asymmetric_prism,constructed,step_imported,13,11,"edge_0,2,4__2,5,4","edge_0,2,4__2,5,4",1,1.4933149003107459e-12,1.2316818592266832e-16,9.9981793889183407e-13,1,2,2,1,4|7,4|7,4|7,4|7,1,1
step_import,asymmetric_prism,constructed,step_imported,14,15,"edge_0,0,0__0,2,0","edge_0,0,0__0,2,0",1,0,0,0,1,2,2,1,5|6,5|6,5|6,5|6,1,1
step_import,asymmetric_prism,constructed,step_imported,15,14,"edge_0,0,4__0,2,4","edge_0,0,4__0,2,4",1,0,0,0,1,2,2,1,5|7,5|7,5|7,5|7,1,1
step_import,reversed_box,constructed,step_imported,1,1,"edge_0,0,0__0,0,6","edge_0,0,0__0,0,6",1,0,0,0,1,2,2,1,1|3,1|3,1|3,1|3,1,1
step_import,reversed_box,constructed,step_imported,2,4,"edge_0,0,6__0,5,6","edge_0,0,6__0,5,6",1,0,0,0,1,2,2,1,1|6,1|6,1|6,1|6,1,1
step_import,reversed_box,constructed,step_imported,3,3,"edge_0,5,0__0,5,6","edge_0,5,0__0,5,6",1,0,0,0,1,2,2,1,1|4,1|4,1|4,1|4,1,1
step_import,reversed_box,constructed,step_imported,4,2,"edge_0,0,0__0,5,0","edge_0,0,0__0,5,0",1,0,0,0,1,2,2,1,1|5,1|5,1|5,1|5,1,1
step_import,reversed_box,constructed,step_imported,5,5,"edge_4,0,0__4,0,6","edge_4,0,0__4,0,6",1,0,0,0,1,2,2,1,2|3,2|3,2|3,2|3,1,1
step_import,reversed_box,constructed,step_imported,6,8,"edge_4,0,6__4,5,6","edge_4,0,6__4,5,6",1,0,0,0,1,2,2,1,2|6,2|6,2|6,2|6,1,1
step_import,reversed_box,constructed,step_imported,7,7,"edge_4,5,0__4,5,6","edge_4,5,0__4,5,6",1,0,0,0,1,2,2,1,2|4,2|4,2|4,2|4,1,1
step_import,reversed_box,constructed,step_imported,8,6,"edge_4,0,0__4,5,0","edge_4,0,0__4,5,0",1,0,0,0,1,2,2,1,2|5,2|5,2|5,2|5,1,1
step_import,reversed_box,constructed,step_imported,9,9,"edge_0,0,0__4,0,0","edge_0,0,0__4,0,0",1,0,0,0,1,2,2,1,3|5,3|5,3|5,3|5,1,1
step_import,reversed_box,constructed,step_imported,10,10,"edge_0,0,6__4,0,6","edge_0,0,6__4,0,6",1,0,0,0,1,2,2,1,3|6,3|6,3|6,3|6,1,1
step_import,reversed_box,constructed,step_imported,11,11,"edge_0,5,0__4,5,0","edge_0,5,0__4,5,0",1,0,0,0,1,2,2,1,4|5,4|5,4|5,4|5,1,1
step_import,reversed_box,constructed,step_imported,12,12,"edge_0,5,6__4,5,6","edge_0,5,6__4,5,6",1,0,0,0,1,2,2,1,4|6,4|6,4|6,4|6,1,1
step_import,split_box,constructed,step_imported,1,1,"edge_0,0,0__0,0,3","edge_0,0,0__0,0,3",1,0,0,0,1,2,2,1,1|2,1|2,1|2,1|2,1,1
step_import,split_box,constructed,step_imported,2,4,"edge_0,0,3__0,6,3","edge_0,0,3__0,6,3",1,0,0,0,1,2,2,1,1|3,1|3,1|3,1|3,1,1
step_import,split_box,constructed,step_imported,3,3,"edge_0,6,0__0,6,3","edge_0,6,0__0,6,3",1,0,0,0,1,2,2,1,1|4,1|4,1|4,1|4,1,1
step_import,split_box,constructed,step_imported,4,2,"edge_0,0,0__0,6,0","edge_0,0,0__0,6,0",1,0,0,0,1,2,2,1,1|5,1|5,1|5,1|5,1,1
step_import,split_box,constructed,step_imported,5,5,long_y0_z0_left,long_y0_z0_left,1,0,0,0,1,2,2,1,2|5,2|5,2|5,2|5,1,1
step_import,split_box,constructed,step_imported,6,7,"seam_4,0,0__4,0,3","seam_4,0,0__4,0,3",1,0,0,0,1,2,2,1,2|6,2|6,2|6,2|6,1,1
step_import,split_box,constructed,step_imported,7,6,long_y0_z3_left,long_y0_z3_left,1,0,0,0,1,2,2,1,2|3,2|3,2|3,2|3,1,1
step_import,split_box,constructed,step_imported,8,9,long_y6_z3_left,long_y6_z3_left,1,0,0,0,1,2,2,1,3|4,3|4,3|4,3|4,1,1
step_import,split_box,constructed,step_imported,9,8,"seam_4,0,3__4,6,3","seam_4,0,3__4,6,3",1,0,0,0,1,2,2,1,3|7,3|7,3|7,3|7,1,1
step_import,split_box,constructed,step_imported,10,10,long_y6_z0_left,long_y6_z0_left,1,0,0,0,1,2,2,1,4|5,4|5,4|5,4|5,1,1
step_import,split_box,constructed,step_imported,11,11,"seam_4,6,0__4,6,3","seam_4,6,0__4,6,3",1,0,0,0,1,2,2,1,4|8,4|8,4|8,4|8,1,1
step_import,split_box,constructed,step_imported,12,12,"seam_4,0,0__4,6,0","seam_4,0,0__4,6,0",1,0,0,0,1,2,2,1,5|9,5|9,5|9,5|9,1,1
step_import,split_box,constructed,step_imported,13,13,long_y0_z0_right,long_y0_z0_right,1,0,0,0,1,2,2,1,6|9,6|9,6|9,6|9,1,1
step_import,split_box,constructed,step_imported,14,15,"edge_10,0,0__10,0,3","edge_10,0,0__10,0,3",1,0,0,0,1,2,2,1,6|10,6|10,6|10,6|10,1,1
step_import,split_box,constructed,step_imported,15,14,long_y0_z3_right,long_y0_z3_right,1,0,0,0,1,2,2,1,6|7,6|7,6|7,6|7,1,1
step_import,split_box,constructed,step_imported,16,17,long_y6_z3_right,long_y6_z3_right,1,0,0,0,1,2,2,1,7|8,7|8,7|8,7|8,1,1
step_import,split_box,constructed,step_imported,17,16,"edge_10,0,3__10,6,3","edge_10,0,3__10,6,3",1,0,0,0,1,2,2,1,7|10,7|10,7|10,7|10,1,1
