stage,control_id,edge_index,truth_role,curve_type,length,first_point_x,first_point_y,first_point_z,last_point_x,last_point_y,last_point_z,support_direction,support_anchor,incident_face_count,incident_face_indices
constructed,asymmetric_prism,1,"edge_0,0,0__0,0,4",line,4,0,0,0,0,0,4,0.0|0.0|1.0,0.0|0.0|0.0,2,1|5
constructed,asymmetric_prism,2,"edge_7,0,0__7,0,4",line,4,7,0,0,7,0,4,0.0|0.0|1.0,7.0|0.0|0.0,2,1|2
constructed,asymmetric_prism,3,"edge_0,0,0__7,0,0",line,7,0,0,0,7,0,0,1.0|0.0|0.0,0.0|0.0|0.0,2,1|6
constructed,asymmetric_prism,4,"edge_0,0,4__7,0,4",line,7,0,0,4,7,0,4,1.0|0.0|0.0,0.0|0.0|4.0,2,1|7
constructed,asymmetric_prism,5,"edge_6,3,0__6,3,4",line,4,6,3,0,6,3,4,0.0|0.0|1.0,6.0|3.0|0.0,2,2|3
constructed,asymmetric_prism,6,"edge_6,3,0__7,0,0",line,3.1622776601683791,6,3,0,7,0,0,0.31622776601683794|-0.9486832980505138|0.0,6.3|2.1000000000000005|0.0,2,2|6
constructed,asymmetric_prism,7,"edge_6,3,4__7,0,4",line,3.1622776601683791,6,3,4,7,0,4,0.31622776601683794|-0.9486832980505138|0.0,6.3|2.1000000000000005|4.0,2,2|7
constructed,asymmetric_prism,8,"edge_2,5,0__2,5,4",line,4,2,5,0,2,5,4,0.0|0.0|1.0,2.0|5.0|0.0,2,3|4
constructed,asymmetric_prism,9,"edge_2,5,0__6,3,0",line,4.4721359549995787,2,5,0,6,3,0,0.8944271909999159|-0.4472135954999579|0.0,2.4000000000000004|4.8|0.0,2,3|6
constructed,asymmetric_prism,10,"edge_2,5,4__6,3,4",line,4.4721359549995787,2,5,4,6,3,4,0.8944271909999159|-0.4472135954999579|0.0,2.4000000000000004|4.8|4.0,2,3|7
constructed,asymmetric_prism,11,"edge_0,2,0__0,2,4",line,4,0,2,0,0,2,4,0.0|0.0|1.0,0.0|2.0|0.0,2,4|5
constructed,asymmetric_prism,12,"edge_0,2,0__2,5,0",line,3.6055512754639891,0,2,0,2,5,0,0.5547001962252291|0.8320502943378437|0.0,-0.9230769230769231|0.6153846153846152|0.0,2,4|6
constructed,asymmetric_prism,13,"edge_0,2,4__2,5,4",line,3.6055512754639891,0,2,4,2,5,4,0.5547001962252291|0.8320502943378437|0.0,-0.9230769230769231|0.6153846153846152|4.0,2,4|7
constructed,asymmetric_prism,14,"edge_0,0,0__0,2,0",line,2,0,0,0,0,2,0,0.0|1.0|0.0,0.0|0.0|0.0,2,5|6
constructed,asymmetric_prism,15,"edge_0,0,4__0,2,4",line,2,0,0,4,0,2,4,0.0|1.0|0.0,0.0|0.0|4.0,2,5|7
step_imported,asymmetric_prism,1,"edge_0,0,0__0,0,4",line,4,0,0,0,0,0,4,0.0|0.0|1.0,0.0|0.0|0.0,2,1|5
step_imported,asymmetric_prism,2,"edge_0,0,4__7,0,4",line,7,0,0,4,7,0,4,1.0|0.0|0.0,0.0|0.0|4.0,2,1|7
step_imported,asymmetric_prism,3,"edge_7,0,0__7,0,4",line,4,7,0,0,7,0,4,0.0|0.0|1.0,7.0|0.0|0.0,2,1|2
step_imported,asymmetric_prism,4,"edge_0,0,0__7,0,0",line,7,0,0,0,7,0,0,1.0|0.0|0.0,0.0|0.0|0.0,2,1|6
step_imported,asymmetric_prism,5,"edge_6,3,4__7,0,4",line,3.1622776601683795,6,3.0000000000000004,4,7,0,4,0.3162277660168379|-0.9486832980505138|0.0,6.3|2.1|4.0,2,2|7
step_imported,asymmetric_prism,6,"edge_6,3,0__6,3,4",line,4,6,3,0,6,3,4,0.0|0.0|1.0,6.0|3.0|0.0,2,2|3
step_imported,asymmetric_prism,7,"edge_6,3,0__7,0,0",line,3.1622776601683795,6,3.0000000000000004,0,7,0,0,0.3162277660168379|-0.9486832980505138|0.0,6.3|2.1|0.0,2,2|6
step_imported,asymmetric_prism,8,"edge_2,5,4__6,3,4",line,4.4721359549995796,1.9999999999999991,5,4,6,3,4,0.8944271909999159|-0.4472135954999578|0.0,2.3999999999999995|4.8|4.0,2,3|7
step_imported,asymmetric_prism,9,"edge_2,5,0__2,5,4",line,4,2,5,0,2,5,4,0.0|0.0|1.0,2.0|5.0|0.0,2,3|4
step_imported,asymmetric_prism,10,"edge_2,5,0__6,3,0",line,4.4721359549995796,1.9999999999999991,5,0,6,3,0,0.8944271909999159|-0.4472135954999578|0.0,2.3999999999999995|4.8|0.0,2,3|6
step_imported,asymmetric_prism,11,"edge_0,2,4__2,5,4",line,3.6055512754639896,8.3155704544424225e-13,1.9999999999994449,4,2,5,4,0.5547001962249984|0.8320502943379976|0.0,-0.9230769230758781|0.6153846153835485|4.0,2,4|7
step_imported,asymmetric_prism,12,"edge_0,2,0__0,2,4",line,4,0,2,0,0,2,4,0.0|0.0|1.0,0.0|2.0|0.0,2,4|5
step_imported,asymmetric_prism,13,"edge_0,2,0__2,5,0",line,3.6055512754639896,8.3155704544424225e-13,1.9999999999994449,0,2,5,0,0.5547001962249984|0.8320502943379976|0.0,-0.9230769230758781|0.6153846153835485|0.0,2,4|6
step_imported,asymmetric_prism,14,"edge_0,0,4__0,2,4",line,2,0,0,4,0,2,4,0.0|1.0|0.0,0.0|0.0|4.0,2,5|7
step_imported,asymmetric_prism,15,"edge_0,0,0__0,2,0",line,2,0,0,0,0,2,0,0.0|1.0|0.0,0.0|0.0|0.0,2,5|6
constructed,reversed_box,1,"edge_0,0,0__0,0,6",line,6,0,0,0,0,0,6,0.0|0.0|1.0,0.0|0.0|0.0,2,1|3
constructed,reversed_box,2,"edge_0,0,6__0,5,6",line,5,0,0,6,0,5,6,0.0|1.0|0.0,0.0|0.0|6.0,2,1|6
constructed,reversed_box,3,"edge_0,5,0__0,5,6",line,6,0,5,0,0,5,6,0.0|0.0|1.0,0.0|5.0|0.0,2,1|4
constructed,reversed_box,4,"edge_0,0,0__0,5,0",line,5,0,0,0,0,5,0,0.0|1.0|0.0,0.0|0.0|0.0,2,1|5
constructed,reversed_box,5,"edge_4,0,0__4,0,6",line,6,4,0,0,4,0,6,0.0|0.0|1.0,4.0|0.0|0.0,2,2|3
constructed,reversed_box,6,"edge_4,0,6__4,5,6",line,5,4,0,6,4,5,6,0.0|1.0|0.0,4.0|0.0|6.0,2,2|6
constructed,reversed_box,7,"edge_4,5,0__4,5,6",line,6,4,5,0,4,5,6,0.0|0.0|1.0,4.0|5.0|0.0,2,2|4
constructed,reversed_box,8,"edge_4,0,0__4,5,0",line,5,4,0,0,4,5,0,0.0|1.0|0.0,4.0|0.0|0.0,2,2|5
constructed,reversed_box,9,"edge_0,0,0__4,0,0",line,4,0,0,0,4,0,0,1.0|0.0|0.0,0.0|0.0|0.0,2,3|5
constructed,reversed_box,10,"edge_0,0,6__4,0,6",line,4,0,0,6,4,0,6,1.0|0.0|0.0,0.0|0.0|6.0,2,3|6
constructed,reversed_box,11,"edge_0,5,0__4,5,0",line,4,0,5,0,4,5,0,1.0|0.0|0.0,0.0|5.0|0.0,2,4|5
constructed,reversed_box,12,"edge_0,5,6__4,5,6",line,4,0,5,6,4,5,6,1.0|0.0|0.0,0.0|5.0|6.0,2,4|6
step_imported,reversed_box,1,"edge_0,0,0__0,0,6",line,6,0,0,0,0,0,6,0.0|0.0|1.0,0.0|0.0|0.0,2,1|3
