stage,control_id,face_index,truth_role,surface_type,area,centroid_x,centroid_y,centroid_z,support_direction,support_offset,cylinder_radius,wire_count,edge_count,adjacency_degree,edge_length_signature
constructed,asymmetric_prism,1,side_0,plane,27.999999999999993,3.5,0,2,0.0|1.0|0.0,0,,1,4,4,4|4|7|7
constructed,asymmetric_prism,2,side_1,plane,12.649110640673516,6.5,1.5000000000000002,2,0.9486832980505139|0.316227766016838|-0.0,6.640783086353597,,1,4,4,3.1622776601683791|3.1622776601683791|4|4
constructed,asymmetric_prism,3,side_2,plane,17.888543819998318,3.9999999999999991,4,2,0.447213595499958|0.894427190999916|-0.0,5.3665631459994962,,1,4,4,4|4|4.4721359549995787|4.4721359549995787
constructed,asymmetric_prism,4,side_3,plane,14.422205101855956,0.99999999999999989,3.5,2,0.8320502943378437|-0.5547001962252291|0.0,-1.1094003924504585,,1,4,4,3.6055512754639891|3.6055512754639891|4|4
constructed,asymmetric_prism,5,side_4,plane,8,0,1,2,1.0|0.0|-0.0,0,,1,4,4,2|2|4|4
constructed,asymmetric_prism,6,base_bottom,plane,24.5,3.2176870748299318,1.925170068027211,0,0.0|0.0|1.0,0,,1,5,5,2|3.1622776601683791|3.6055512754639891|4.4721359549995787|7
constructed,asymmetric_prism,7,base_top,plane,24.5,3.2176870748299318,1.925170068027211,4,0.0|0.0|1.0,4,,1,5,5,2|3.1622776601683791|3.6055512754639891|4.4721359549995787|7
step_imported,asymmetric_prism,1,side_0,plane,27.999999999999993,3.5,0,2,0.0|1.0|0.0,0,,1,4,4,4|4|7|7
step_imported,asymmetric_prism,2,side_1,plane,12.649110640673516,6.5,1.5000000000000002,2,0.9486832980505139|0.31622776601683794|-0.0,6.640783086353597,,1,4,4,3.1622776601683795|3.1622776601683795|4|4
step_imported,asymmetric_prism,3,side_2,plane,17.888543819998318,3.9999999999999991,4,2,0.447213595499958|0.894427190999916|-0.0,5.3665631459994962,,1,4,4,4|4|4.4721359549995796|4.4721359549995796
step_imported,asymmetric_prism,4,side_3,plane,14.422205101855956,1.0000000000004159,3.4999999999997224,2,0.8320502943379976|-0.5547001962249984|0.0,-1.109400392448997,,1,4,4,3.6055512754639896|3.6055512754639896|4|4
step_imported,asymmetric_prism,5,side_4,plane,8,0,1,2,1.0|0.0|-0.0,0,,1,4,4,2|2|4|4
step_imported,asymmetric_prism,6,base_bottom,plane,24.499999999998199,3.2176870748301196,1.925170068027132,0,0.0|0.0|1.0,0,,1,5,5,2|3.1622776601683795|3.6055512754639896|4.4721359549995796|7
step_imported,asymmetric_prism,7,base_top,plane,24.499999999998199,3.2176870748301196,1.925170068027132,4,0.0|0.0|1.0,4,,1,5,5,2|3.1622776601683795|3.6055512754639896|4.4721359549995796|7
constructed,reversed_box,1,x_min,plane,30,0,2.5,3,1.0|0.0|-0.0,0,,1,4,4,5|5|6|6
constructed,reversed_box,2,x_max,plane,30,4,2.5,3,1.0|0.0|-0.0,4,,1,4,4,5|5|6|6
constructed,reversed_box,3,y_min,plane,24,2,0,3,-0.0|1.0|0.0,0,,1,4,4,4|4|6|6
constructed,reversed_box,4,y_max,plane,24,2,5,3,-0.0|1.0|0.0,5,,1,4,4,4|4|6|6
