comparison,control_id,source_stage,target_stage,source_face_index,source_truth_role,target_face_indices,target_truth_roles,relation_kind,candidate_count,truth_correct,history_target_indices,history_agrees
step_import,asymmetric_prism,constructed,step_imported,1,side_0,1,side_0,one_to_one,1,1,,
step_import,asymmetric_prism,constructed,step_imported,2,side_1,2,side_1,one_to_one,1,1,,
step_import,asymmetric_prism,constructed,step_imported,3,side_2,3,side_2,one_to_one,1,1,,
step_import,asymmetric_prism,constructed,step_imported,4,side_3,4,side_3,one_to_one,1,1,,
step_import,asymmetric_prism,constructed,step_imported,5,side_4,5,side_4,one_to_one,1,1,,
step_import,asymmetric_prism,constructed,step_imported,6,base_bottom,6,base_bottom,one_to_one,1,1,,
step_import,asymmetric_prism,constructed,step_imported,7,base_top,7,base_top,one_to_one,1,1,,
step_import,reversed_box,constructed,step_imported,1,x_min,1,x_min,one_to_one,1,1,,
step_import,reversed_box,constructed,step_imported,2,x_max,2,x_max,one_to_one,1,1,,
step_import,reversed_box,constructed,step_imported,3,y_min,3,y_min,one_to_one,1,1,,
step_import,reversed_box,constructed,step_imported,4,y_max,4,y_max,one_to_one,1,1,,
step_import,reversed_box,constructed,step_imported,5,z_min,5,z_min,one_to_one,1,1,,
step_import,reversed_box,constructed,step_imported,6,z_max,6,z_max,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,1,x_min,1,x_min,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,2,y_min_left,2,y_min_left,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,3,z_max_left,3,z_max_left,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,4,y_max_left,4,y_max_left,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,5,z_min_left,5,z_min_left,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,6,y_min_right,6,y_min_right,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,7,z_max_right,7,z_max_right,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,8,y_max_right,8,y_max_right,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,9,z_min_right,9,z_min_right,one_to_one,1,1,,
step_import,split_box,constructed,step_imported,10,x_max,10,x_max,one_to_one,1,1,,
step_import,coincident_faces,constructed,step_imported,1,coincident,,,ambiguous,2,1,,
step_import,coincident_faces,constructed,step_imported,2,coincident,,,ambiguous,2,1,,
same_domain_healing,split_box,step_imported,healed,1,x_min,1,x_min,one_to_one,1,1,1,1
same_domain_healing,split_box,step_imported,healed,2,y_min_left,6,y_min,many_to_one,1,1,6,1
same_domain_healing,split_box,step_imported,healed,3,z_max_left,2,z_max,many_to_one,1,1,2,1
same_domain_healing,split_box,step_imported,healed,4,y_max_left,4,y_max,many_to_one,1,1,4,1
same_domain_healing,split_box,step_imported,healed,5,z_min_left,5,z_min,many_to_one,1,1,5,1
same_domain_healing,split_box,step_imported,healed,6,y_min_right,6,y_min,many_to_one,1,1,6,1
same_domain_healing,split_box,step_imported,healed,7,z_max_right,2,z_max,many_to_one,1,1,2,1
same_domain_healing,split_box,step_imported,healed,8,y_max_right,4,y_max,many_to_one,1,1,4,1
same_domain_healing,split_box,step_imported,healed,9,z_min_right,5,z_min,many_to_one,1,1,5,1
same_domain_healing,split_box,step_imported,healed,10,x_max,3,x_max,one_to_one,1,1,3,1
