scope,metric,value
corpus,control_count,4
corpus,fixture_count,4
face_corpus,descriptor_count,56
face_corpus,candidate_count,37
face_all,source_relation_count,35
face_step_import,one_to_one_source_count,23
face_step_import,ambiguous_source_count,2
face_step_import,changed_local_index_count,0
face_healing,one_to_one_source_count,2
face_healing,many_to_one_source_count,8
face_all,truth_correct_source_count,35
face_healing,history_agreement_count,10
face_step_import_selected,maximum_area_relative_error,7.351942184293281e-14
face_step_import_selected,maximum_centroid_distance,5.0009366101952708e-13
edge_corpus,descriptor_count,122
edge_corpus,candidate_count,79
edge_all,source_relation_count,75
edge_step_import,one_to_one_source_count,47
edge_step_import,ambiguous_source_count,8
edge_step_import,changed_local_index_count,28
edge_healing,one_to_one_modified_source_count,8
edge_healing,many_to_one_source_count,8
edge_healing,deleted_source_count,4
edge_all,truth_correct_source_count,75
edge_healing,history_agreement_count,20
edge_healing,history_modified_item_count,16
edge_healing,history_generated_item_count,0
edge_healing,history_removed_source_count,4
edge_all,direct_identity_checked_source_count,75
edge_all,direct_is_same_source_count,0
edge_all,direct_is_partner_source_count,0
edge_step_import_selected,maximum_length_relative_error,1.9860273225978183e-16
edge_step_import_selected,maximum_endpoint_pair_distance,9.9981793889183407e-13
edge_step_import_selected,maximum_support_error,1.4933149003107459e-12
