platform_label,stage,control_id,solid_index,shell_index,signed_volume,volume_magnitude,witness_x,witness_y,witness_z,local_containment_depth,global_containment_depth,inferred_role,expected_volume_sign,observed_volume_sign,orientation_matches_depth
linux-x64-reference,constructed,single_outer_box,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,step_imported,single_outer_box,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,constructed,centered_void_box,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,constructed,centered_void_box,1,2,-15.999999999999996,15.999999999999996,3.6919999346000001,3.3459999346,2.3459999346,1,1,void,negative,negative,1
linux-x64-reference,step_imported,centered_void_box,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,step_imported,centered_void_box,1,2,-15.999999999999996,15.999999999999996,3.6919999346000001,3.3459999346,2.3459999346,1,1,void,negative,negative,1
linux-x64-reference,constructed,two_void_box,1,1,576,576,2.0759999346,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,constructed,two_void_box,1,2,-7.9999999999999982,7.9999999999999982,2.3459999346,2.3459999346,2.3459999346,1,1,void,negative,negative,1
linux-x64-reference,constructed,two_void_box,1,3,-7.9999999999999982,7.9999999999999982,8.3459999346,4.3459999346,2.3459999346,1,1,void,negative,negative,1
linux-x64-reference,step_imported,two_void_box,1,1,576,576,2.0759999346,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,step_imported,two_void_box,1,2,-7.9999999999999982,7.9999999999999982,2.3459999346,2.3459999346,2.3459999346,1,1,void,negative,negative,1
linux-x64-reference,step_imported,two_void_box,1,3,-7.9999999999999982,7.9999999999999982,8.3459999346,4.3459999346,2.3459999346,1,1,void,negative,negative,1
linux-x64-reference,constructed,wrong_void_orientation,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,constructed,wrong_void_orientation,1,2,15.999999999999996,15.999999999999996,3.6919999346000001,3.3459999346,2.3459999346,1,1,void,negative,positive,0
linux-x64-reference,step_imported,wrong_void_orientation,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,step_imported,wrong_void_orientation,1,2,-15.999999999999996,15.999999999999996,3.6919999346000001,3.3459999346,2.3459999346,1,1,void,negative,negative,1
linux-x64-reference,constructed,outside_void_shell,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,constructed,outside_void_shell,1,2,-15.999999999999996,15.999999999999996,11.6919999346,3.3459999346,2.3459999346,0,0,outer,positive,negative,0
linux-x64-reference,step_imported,outside_void_shell,1,1,480,480,1.7299999345999997,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,step_imported,outside_void_shell,2,1,15.999999999999996,15.999999999999996,11.6919999346,3.3459999346,2.3459999346,0,0,outer,positive,positive,1
linux-x64-reference,constructed,overlapping_void_shells,1,1,576,576,2.0759999346,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,constructed,overlapping_void_shells,1,2,-27,27,2.5189999346,2.5189999346,2.0189999346,1,1,void,negative,negative,1
linux-x64-reference,constructed,overlapping_void_shells,1,3,-27,27,4.5189999346,2.5189999346,2.0189999346,1,1,void,negative,negative,1
linux-x64-reference,step_imported,overlapping_void_shells,1,1,576,576,2.0759999346,1.3839999345999996,1.0379999346,0,0,outer,positive,positive,1
linux-x64-reference,step_imported,overlapping_void_shells,1,2,-27,27,2.5189999346,2.5189999346,2.0189999346,1,1,void,negative,negative,1
