platform_label,stage,control_id,component_index,face_indices,vertex_count,edge_count,face_count,euler_characteristic,boundary_edge_count,nonmanifold_edge_count,closed_by_incidence
linux-x64-reference,constructed,valid_box,1,1;2;3;4;5;6,8,12,6,2,0,0,1
linux-x64-reference,step_imported,valid_box,1,1;2;3;4;5;6,8,12,6,2,0,0,1
linux-x64-reference,constructed,reversed_box,1,1;2;3;4;5;6,8,12,6,2,0,0,1
linux-x64-reference,step_imported,reversed_box,1,1;2;3;4;5;6,8,12,6,2,0,0,1
linux-x64-reference,constructed,open_box,1,1;2;3;4;5,8,12,5,1,4,0,0
linux-x64-reference,step_imported,open_box,1,1;2;3;4;5,8,12,5,1,4,0,0
linux-x64-reference,constructed,flipped_face_box,1,1;2;3;4;5;6,8,12,6,2,0,0,1
linux-x64-reference,step_imported,flipped_face_box,1,1;2;3;4;5;6,8,12,6,2,0,0,1
linux-x64-reference,constructed,nonmanifold_fan,1,1;2;3,5,7,3,1,6,1,0
linux-x64-reference,step_imported,nonmanifold_fan,1,1;2;3,5,7,3,1,6,1,0
linux-x64-reference,constructed,valid_torus,1,1,1,2,1,0,0,0,1
linux-x64-reference,step_imported,valid_torus,1,1,1,2,1,0,0,0,1
linux-x64-reference,constructed,disconnected_faces,1,1,3,3,1,1,3,0,0
linux-x64-reference,constructed,disconnected_faces,2,2,3,3,1,1,3,0,0
linux-x64-reference,step_imported,disconnected_faces,1,1,3,3,1,1,3,0,0
linux-x64-reference,step_imported,disconnected_faces,2,2,3,3,1,1,3,0,0
