scope,metric,value
fixture,control_count,7
fixture,step_file_count,7
topology,control_stage_observation_count,14
topology,topology_matches_control_count,14
constructed,closed_by_incidence_count,4
constructed,boundary_edge_count,16
constructed,nonmanifold_edge_count,1
constructed,closed_oriented_shell_candidate_count,3
kernel,constructed_analyzer_true_but_contract_false_count,3
kernel,imported_analyzer_true_but_contract_false_count,3
volume,maximum_eligible_magnitude_absolute_error,6.3664629124104977e-12
exchange,reversed_box_constructed_volume_sign,negative
exchange,reversed_box_imported_volume_sign,positive
exchange,flipped_face_constructed_minimum_flips,1
exchange,flipped_face_imported_minimum_flips,0
exchange,nonmanifold_fan_shell_count_change,1->3
exchange,disconnected_shell_count_change,1->2
exchange,disconnected_kernel_analyzer_change,0->1
