platform_label,stage,control_id,shell_index,orientation,vertex_count,edge_count,face_count,closed_status,orientation_status
linux-x64-reference,constructed,valid_box,1,forward,8,12,6,BRepCheck_NoError,BRepCheck_NoError
linux-x64-reference,step_imported,valid_box,1,forward,8,12,6,BRepCheck_NoError,BRepCheck_NoError
linux-x64-reference,constructed,reversed_box,1,reversed,8,12,6,BRepCheck_NoError,BRepCheck_NoError
linux-x64-reference,step_imported,reversed_box,1,reversed,8,12,6,BRepCheck_NoError,BRepCheck_NoError
linux-x64-reference,constructed,open_box,1,forward,8,12,5,BRepCheck_NotClosed,BRepCheck_NoError
linux-x64-reference,step_imported,open_box,1,forward,8,12,5,BRepCheck_NotClosed,BRepCheck_NoError
linux-x64-reference,constructed,flipped_face_box,1,forward,8,12,6,BRepCheck_NoError,BRepCheck_BadOrientationOfSubshape
linux-x64-reference,step_imported,flipped_face_box,1,forward,8,12,6,BRepCheck_NoError,BRepCheck_NoError
linux-x64-reference,constructed,nonmanifold_fan,1,forward,5,7,3,BRepCheck_InvalidMultiConnexity,BRepCheck_InvalidMultiConnexity
linux-x64-reference,step_imported,nonmanifold_fan,1,forward,3,3,1,BRepCheck_NotClosed,BRepCheck_NoError
linux-x64-reference,step_imported,nonmanifold_fan,2,forward,3,3,1,BRepCheck_NotClosed,BRepCheck_NoError
linux-x64-reference,step_imported,nonmanifold_fan,3,forward,3,3,1,BRepCheck_NotClosed,BRepCheck_NoError
linux-x64-reference,constructed,valid_torus,1,forward,1,2,1,BRepCheck_NoError,BRepCheck_NoError
linux-x64-reference,step_imported,valid_torus,1,forward,1,2,1,BRepCheck_NoError,BRepCheck_NoError
linux-x64-reference,constructed,disconnected_faces,1,forward,6,6,2,BRepCheck_NotConnected,BRepCheck_NotConnected
linux-x64-reference,step_imported,disconnected_faces,1,forward,3,3,1,BRepCheck_NotClosed,BRepCheck_NoError
linux-x64-reference,step_imported,disconnected_faces,2,forward,3,3,1,BRepCheck_NotClosed,BRepCheck_NoError
