platform_label,stage,control_id,condition,observed_shape_type,vertex_count,edge_count,face_count,shell_count,solid_count,kernel_signed_volume,analytic_material_volume,volume_absolute_error,shell_signed_volume_sum,shell_orientation_contract,root_shell_count_matches_solids,same_depth_shell_overlap_count,shell_overlap_gate_passed,shared_face_count,expected_shared_face_count,shared_face_count_matches_constructed_control,solid_component_count,expected_solid_component_count,solid_component_count_matches_constructed_control,composite_solid_contract,material_region_candidate,expected_constructed_contract,material_region_candidate_matches_constructed_control,kernel_analyzer_valid,topology_matches_constructed_control
linux-x64-reference,constructed,single_outer_box,one outer box shell,solid,8,12,6,1,1,480,480,0,480,1,1,0,1,0,0,1,1,1,1,,1,1,1,1,1
linux-x64-reference,step_imported,single_outer_box,one outer box shell,solid,8,12,6,1,1,480,480,0,480,1,1,0,1,0,0,1,1,1,1,,1,1,1,1,1
linux-x64-reference,constructed,centered_void_box,one centered void inside a box,compound,16,24,12,2,1,463.99999999999989,464,1.1368683772161603e-13,464,1,1,0,1,0,0,1,1,1,1,,1,1,1,1,1
linux-x64-reference,step_imported,centered_void_box,one centered void inside a box,solid,16,24,12,2,1,463.99999999999989,464,1.1368683772161603e-13,464,1,1,0,1,0,0,1,1,1,1,,1,1,1,1,1
linux-x64-reference,constructed,two_void_box,two disjoint voids inside a box,compound,24,36,18,3,1,559.99999999999977,560,2.2737367544323206e-13,560,1,1,0,1,0,0,1,1,1,1,,1,1,1,1,1
linux-x64-reference,step_imported,two_void_box,two disjoint voids inside a box,solid,24,36,18,3,1,559.99999999999977,560,2.2737367544323206e-13,560,1,1,0,1,0,0,1,1,1,1,,1,1,1,1,1
linux-x64-reference,constructed,wrong_void_orientation,inner shell oriented as material,solid,16,24,12,2,1,496.00000000000011,464,32.000000000000114,496,0,1,0,1,0,0,1,1,1,1,,0,0,1,0,1
linux-x64-reference,step_imported,wrong_void_orientation,inner shell oriented as material,solid,16,24,12,2,1,463.99999999999989,464,1.1368683772161603e-13,464,1,1,0,1,0,0,1,1,1,1,,1,0,0,1,1
linux-x64-reference,constructed,outside_void_shell,reversed shell outside the outer shell,solid,16,24,12,2,1,463.99999999999994,464,5.6843418860808015e-14,464,0,0,0,1,0,0,1,1,1,1,,0,0,1,0,1
linux-x64-reference,step_imported,outside_void_shell,reversed shell outside the outer shell,compound,16,24,12,2,2,496.00000000000006,464,32.000000000000057,496,1,1,0,1,0,0,1,2,1,0,,0,0,1,1,0
linux-x64-reference,constructed,overlapping_void_shells,two same-depth void shells overlap,solid,24,36,18,3,1,522,531,9,522,1,1,1,0,0,0,1,1,1,1,,0,0,1,1,1
linux-x64-reference,step_imported,overlapping_void_shells,two same-depth void shells overlap,solid,24,36,18,3,1,522,531,9,522,1,1,1,0,0,0,1,1,1,1,,0,0,1,1,1
linux-x64-reference,constructed,material_island_compound,material island represented as a second solid inside a void,compound,24,36,18,3,2,391.99999999999989,392,1.1368683772161603e-13,392,1,1,0,1,0,0,1,2,2,1,,1,1,1,1,1
linux-x64-reference,step_imported,material_island_compound,material island represented as a second solid inside a void,compound,24,36,18,3,2,391.99999999999989,392,1.1368683772161603e-13,392,1,1,0,1,0,0,1,2,2,1,,1,1,1,1,1
linux-x64-reference,constructed,shared_face_compsolid,two cells connected by one shared topological face,compsolid,12,20,11,2,2,63.999999999999972,64,2.8421709430404007e-14,63.999999999999986,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
linux-x64-reference,step_imported,shared_face_compsolid,two cells connected by one shared topological face,compound,16,24,12,2,2,63.999999999999972,64,2.8421709430404007e-14,63.999999999999986,1,1,0,1,0,1,0,2,1,0,,1,1,1,1,0
linux-x64-reference,constructed,disconnected_compsolid,composite-solid container with two disconnected solids,compsolid,16,24,12,2,2,63.999999999999972,64,2.8421709430404007e-14,63.999999999999986,1,1,0,1,0,0,1,2,2,1,0,0,0,1,1,1
linux-x64-reference,step_imported,disconnected_compsolid,composite-solid container with two disconnected solids,compound,16,24,12,2,2,63.999999999999972,64,2.8421709430404007e-14,63.999999999999986,1,1,0,1,0,0,1,2,2,1,,1,0,0,1,1
linux-x64-reference,constructed,disjoint_compound,general compound containing two disconnected solids,compound,16,24,12,2,2,63.999999999999972,64,2.8421709430404007e-14,63.999999999999986,1,1,0,1,0,0,1,2,2,1,,1,1,1,1,1
linux-x64-reference,step_imported,disjoint_compound,general compound containing two disconnected solids,compound,16,24,12,2,2,63.999999999999972,64,2.8421709430404007e-14,63.999999999999986,1,1,0,1,0,0,1,2,2,1,,1,1,1,1,1
