fixture,edge_index,entity_id,start_vertex_id,end_vertex_id,curve_entity_id,curve_type,same_sense,oriented_use_count,incident_face_count,incident_face_indices,is_free,is_nonmanifold
closed_tetrahedron,0,12,2,4,11,line,1,2,2,0|1,0,0
closed_tetrahedron,1,16,2,6,15,line,1,2,2,0|2,0,0
closed_tetrahedron,2,20,2,8,19,line,1,2,2,1|2,0,0
closed_tetrahedron,3,24,4,6,23,line,1,2,2,0|3,0,0
closed_tetrahedron,4,28,4,8,27,line,1,2,2,1|3,0,0
closed_tetrahedron,5,32,6,8,31,line,1,2,2,2|3,0,0
open_tetrahedron,0,12,2,4,11,line,1,2,2,0|1,0,0
open_tetrahedron,1,16,2,6,15,line,1,2,2,0|2,0,0
open_tetrahedron,2,20,2,8,19,line,1,2,2,1|2,0,0
open_tetrahedron,3,24,4,6,23,line,1,1,1,0,1,0
open_tetrahedron,4,28,4,8,27,line,1,1,1,1,1,0
open_tetrahedron,5,32,6,8,31,line,1,1,1,2,1,0
two_closed_solids,0,12,2,4,11,line,1,2,2,0|1,0,0
two_closed_solids,1,16,2,6,15,line,1,2,2,0|2,0,0
two_closed_solids,2,20,2,8,19,line,1,2,2,1|2,0,0
two_closed_solids,3,24,4,6,23,line,1,2,2,0|3,0,0
two_closed_solids,4,28,4,8,27,line,1,2,2,1|3,0,0
two_closed_solids,5,32,6,8,31,line,1,2,2,2|3,0,0
two_closed_solids,6,86,76,78,85,line,1,2,2,4|5,0,0
two_closed_solids,7,90,76,80,89,line,1,2,2,4|6,0,0
two_closed_solids,8,94,76,82,93,line,1,2,2,5|6,0,0
two_closed_solids,9,98,78,80,97,line,1,2,2,4|7,0,0
two_closed_solids,10,102,78,82,101,line,1,2,2,5|7,0,0
two_closed_solids,11,106,80,82,105,line,1,2,2,6|7,0,0
surface_catalog,0,10,2,4,9,line,1,1,1,0,1,0
surface_catalog,1,14,4,6,13,line,1,1,1,0,1,0
surface_catalog,2,18,2,6,17,line,1,1,1,0,1,0
surface_catalog,3,38,30,32,37,line,1,1,1,1,1,0
surface_catalog,4,42,32,34,41,line,1,1,1,1,1,0
surface_catalog,5,46,30,34,45,line,1,1,1,1,1,0
surface_catalog,6,66,58,60,65,line,1,1,1,2,1,0
surface_catalog,7,70,60,62,69,line,1,1,1,2,1,0
surface_catalog,8,74,58,62,73,line,1,1,1,2,1,0
surface_catalog,9,94,86,88,93,line,1,1,1,3,1,0
surface_catalog,10,98,88,90,97,line,1,1,1,3,1,0
surface_catalog,11,102,86,90,101,line,1,1,1,3,1,0
surface_catalog,12,122,114,116,121,line,1,1,1,4,1,0
surface_catalog,13,126,116,118,125,line,1,1,1,4,1,0
surface_catalog,14,130,114,118,129,line,1,1,1,4,1,0
surface_catalog,15,150,142,144,149,line,1,1,1,5,1,0
surface_catalog,16,154,144,146,153,line,1,1,1,5,1,0
surface_catalog,17,158,142,146,157,line,1,1,1,5,1,0
