fixture,face_index,entity_id,parent_shell_ids,parent_solid_ids,surface_entity_id,surface_type,same_sense,outer_bound_count,inner_bound_count,boundary_edge_count,free_edge_count,nonmanifold_edge_count,adjacent_face_indices,origin,axis,reference_direction,radius,semi_angle,major_radius,minor_radius,u_degree,v_degree
closed_tetrahedron,0,42,73,74,36,plane,1,1,0,3,0,0,1|2|3,0.000000|0.000000|0.000000,0.000000|0.000000|-1.000000,1.000000|0.000000|0.000000,,,,,,
closed_tetrahedron,1,52,73,74,46,plane,1,1,0,3,0,0,0|2|3,0.000000|0.000000|0.000000,0.000000|-1.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
closed_tetrahedron,2,62,73,74,56,plane,1,1,0,3,0,0,0|1|3,0.000000|0.000000|0.000000,-1.000000|0.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
closed_tetrahedron,3,72,73,74,66,plane,1,1,0,3,0,0,0|1|2,1.000000|0.000000|0.000000,0.577350|0.577350|0.577350,1.000000|0.000000|0.000000,,,,,,
open_tetrahedron,0,42,63,,36,plane,1,1,0,3,1,0,1|2,0.000000|0.000000|0.000000,0.000000|0.000000|-1.000000,1.000000|0.000000|0.000000,,,,,,
open_tetrahedron,1,52,63,,46,plane,1,1,0,3,1,0,0|2,0.000000|0.000000|0.000000,0.000000|-1.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
open_tetrahedron,2,62,63,,56,plane,1,1,0,3,1,0,0|1,0.000000|0.000000|0.000000,-1.000000|0.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,0,42,73,74,36,plane,1,1,0,3,0,0,1|2|3,0.000000|0.000000|0.000000,0.000000|0.000000|-1.000000,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,1,52,73,74,46,plane,1,1,0,3,0,0,0|2|3,0.000000|0.000000|0.000000,0.000000|-1.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,2,62,73,74,56,plane,1,1,0,3,0,0,0|1|3,0.000000|0.000000|0.000000,-1.000000|0.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,3,72,73,74,66,plane,1,1,0,3,0,0,0|1|2,1.000000|0.000000|0.000000,0.577350|0.577350|0.577350,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,4,116,147,148,110,plane,1,1,0,3,0,0,5|6|7,3.000000|0.000000|0.000000,0.000000|0.000000|-1.000000,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,5,126,147,148,120,plane,1,1,0,3,0,0,4|6|7,3.000000|0.000000|0.000000,0.000000|-1.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,6,136,147,148,130,plane,1,1,0,3,0,0,4|5|7,3.000000|0.000000|0.000000,-1.000000|0.000000|0.000000,1.000000|0.000000|0.000000,,,,,,
two_closed_solids,7,146,147,148,140,plane,1,1,0,3,0,0,4|5|6,4.000000|0.000000|0.000000,0.577350|0.577350|0.577350,1.000000|0.000000|0.000000,,,,,,
surface_catalog,0,28,168,,22,plane,1,1,0,3,3,0,,0.000000|0.000000|0.000000,0.000000|0.000000|1.000000,1.000000|0.000000|0.000000,,,,,,
surface_catalog,1,56,168,,50,cylinder,1,1,0,3,3,0,,4.000000|0.000000|0.000000,0.000000|0.000000|1.000000,1.000000|0.000000|0.000000,2.000000,,,,,
surface_catalog,2,84,168,,78,cone,1,1,0,3,3,0,,8.000000|0.000000|0.000000,0.000000|0.000000|1.000000,1.000000|0.000000|0.000000,2.000000,0.500000,,,,
surface_catalog,3,112,168,,106,sphere,1,1,0,3,3,0,,12.000000|0.000000|0.000000,0.000000|0.000000|1.000000,1.000000|0.000000|0.000000,3.000000,,,,,
surface_catalog,4,140,168,,134,torus,1,1,0,3,3,0,,16.000000|0.000000|0.000000,0.000000|0.000000|1.000000,1.000000|0.000000|0.000000,,,4.000000,1.000000,,
surface_catalog,5,167,168,,161,b_spline,1,1,0,3,3,0,,,,,,,,,1,1
