scope,metric,value
corpus,fixture_count,6
corpus,expectation_rate,1.000000
corpus,decision_accept,4
corpus,decision_quarantine,1
corpus,decision_reject,1
accepted_faces,surface_plane,16
accepted_faces,surface_cylinder,1
accepted_faces,surface_cone,1
accepted_faces,surface_sphere,1
accepted_faces,surface_torus,1
accepted_faces,surface_b_spline,1
closed_tetrahedron,face_count,4
closed_tetrahedron,edge_count,6
closed_tetrahedron,shell_count,1
closed_tetrahedron,solid_count,1
closed_tetrahedron,free_edge_count,0
closed_tetrahedron,nonmanifold_edge_count,0
open_tetrahedron,face_count,3
open_tetrahedron,edge_count,6
open_tetrahedron,shell_count,1
open_tetrahedron,solid_count,0
open_tetrahedron,free_edge_count,3
open_tetrahedron,nonmanifold_edge_count,0
two_closed_solids,face_count,8
two_closed_solids,edge_count,12
two_closed_solids,shell_count,2
two_closed_solids,solid_count,2
two_closed_solids,free_edge_count,0
two_closed_solids,nonmanifold_edge_count,0
surface_catalog,face_count,6
surface_catalog,edge_count,18
surface_catalog,shell_count,1
surface_catalog,solid_count,0
surface_catalog,free_edge_count,18
surface_catalog,nonmanifold_edge_count,0
unresolved_reference,face_count,0
unresolved_reference,edge_count,0
unresolved_reference,shell_count,0
unresolved_reference,solid_count,0
unresolved_reference,free_edge_count,0
unresolved_reference,nonmanifold_edge_count,0
duplicate_entity_id,face_count,0
duplicate_entity_id,edge_count,0
duplicate_entity_id,shell_count,0
duplicate_entity_id,solid_count,0
duplicate_entity_id,free_edge_count,0
duplicate_entity_id,nonmanifold_edge_count,0
