fixture,section_index,entity_id,mapping,record_types,resolved_entity_ids,expected_parameter_count,actual_parameter_count,status,reason_code
scalar_types,0,1,internal,ITEM,demo::item,7,7,valid,parameters_valid
optional_present,0,1,internal,ITEM,demo::item,1,1,valid,parameters_valid
optional_omitted,0,1,internal,ITEM,demo::item,1,1,valid,parameters_valid
enumeration_value,0,1,internal,ITEM,demo::item,1,1,valid,parameters_valid
aggregate_list,0,1,internal,ITEM,demo::item,1,1,valid,parameters_valid
aggregate_set,0,1,internal,ITEM,demo::item,1,1,valid,parameters_valid
forward_entity_reference,0,1,internal,HOLDER,demo::holder,1,1,valid,parameters_valid
forward_entity_reference,0,2,internal,TARGET,demo::target,1,1,valid,parameters_valid
subtype_entity_reference,0,1,internal,HOLDER,demo::holder,1,1,valid,parameters_valid
subtype_entity_reference,0,2,internal,CHILD,demo::child,2,2,valid,parameters_valid
internal_inheritance,0,1,internal,LEAF,demo::leaf,3,3,valid,parameters_valid
diamond_inheritance,0,1,internal,LEAF,demo::leaf,4,4,valid,parameters_valid
select_entity,0,1,internal,HOLDER,demo::holder,1,1,valid,parameters_valid
select_entity,0,2,internal,TARGET,demo::target,1,1,valid,parameters_valid
select_typed_defined,0,1,internal,ITEM,demo::item,1,1,valid,parameters_valid
derived_redeclaration,0,1,internal,CHILD,demo::child,1,1,valid,parameters_valid
direct_use_entity,0,1,internal,HOLDER,demo::holder,1,1,valid,parameters_valid
direct_use_entity,0,2,internal,TARGET,base::target,1,1,valid,parameters_valid
empty_entity,0,1,internal,MARKER,demo::marker,0,0,valid,parameters_valid
unknown_entity,0,1,internal,MISSING,,0,0,invalid,unknown_entity_type
abstract_entity,0,1,internal,ITEM,demo::item,1,1,invalid,abstract_entity_instance
parameter_count_short,0,1,internal,ITEM,demo::item,2,1,invalid,parameter_count_mismatch
required_value_omitted,0,1,internal,ITEM,demo::item,1,1,invalid,required_value_omitted
unexpected_derived_marker,0,1,internal,ITEM,demo::item,1,1,invalid,unexpected_derived_marker
derived_marker_required,0,1,internal,CHILD,demo::child,1,1,invalid,derived_marker_required
wrong_scalar_type,0,1,internal,ITEM,demo::item,1,1,invalid,parameter_type_mismatch
invalid_enumeration,0,1,internal,ITEM,demo::item,1,1,invalid,enumeration_value_invalid
aggregate_cardinality,0,1,internal,ITEM,demo::item,1,1,invalid,aggregate_cardinality_mismatch
aggregate_duplicate,0,1,internal,ITEM,demo::item,1,1,invalid,aggregate_unique_violation
unresolved_entity_reference,0,1,internal,HOLDER,demo::holder,1,1,invalid,unresolved_entity_reference
wrong_reference_type,0,1,internal,HOLDER,demo::holder,1,1,invalid,entity_reference_type_mismatch
wrong_reference_type,0,2,internal,OTHER,demo::other,0,0,valid,parameters_valid
select_untyped,0,1,internal,ITEM,demo::item,1,1,invalid,select_typed_parameter_required
select_wrong_member,0,1,internal,ITEM,demo::item,1,1,invalid,select_member_invalid
inheritance_parameter_order,0,1,internal,CHILD,demo::child,2,2,invalid,parameter_type_mismatch
complex_component_order,0,1,external,LEFT|BASE|RIGHT,demo::left|demo::base|demo::right,0,3,invalid,complex_component_order
complex_mapping_deferred,0,1,external,BASE|LEFT|RIGHT,demo::base|demo::left|demo::right,3,3,deferred,complex_evaluated_set_deferred
constant_reference_deferred,0,1,internal,ITEM,demo::item,1,1,deferred,external_value_resolution_deferred
width_constraint_deferred,0,1,internal,ITEM,demo::item,1,1,deferred,width_constraint_deferred
