fixture,section_index,section_name,declared_schema,resolved_schema,entity_count,status,reason_code
scalar_types,0,,DEMO,demo,1,valid,schema_resolved
optional_present,0,,DEMO,demo,1,valid,schema_resolved
optional_omitted,0,,DEMO,demo,1,valid,schema_resolved
enumeration_value,0,,DEMO,demo,1,valid,schema_resolved
aggregate_list,0,,DEMO,demo,1,valid,schema_resolved
aggregate_set,0,,DEMO,demo,1,valid,schema_resolved
forward_entity_reference,0,,DEMO,demo,2,valid,schema_resolved
subtype_entity_reference,0,,DEMO,demo,2,valid,schema_resolved
internal_inheritance,0,,DEMO,demo,1,valid,schema_resolved
diamond_inheritance,0,,DEMO,demo,1,valid,schema_resolved
select_entity,0,,DEMO,demo,2,valid,schema_resolved
select_typed_defined,0,,DEMO,demo,1,valid,schema_resolved
derived_redeclaration,0,,DEMO,demo,1,valid,schema_resolved
direct_use_entity,0,,DEMO,demo,2,valid,schema_resolved
empty_entity,0,,DEMO,demo,1,valid,schema_resolved
missing_data_schema,0,,MISSING,,1,invalid,data_schema_not_found
unknown_entity,0,,DEMO,demo,1,valid,schema_resolved
abstract_entity,0,,DEMO,demo,1,valid,schema_resolved
parameter_count_short,0,,DEMO,demo,1,valid,schema_resolved
required_value_omitted,0,,DEMO,demo,1,valid,schema_resolved
unexpected_derived_marker,0,,DEMO,demo,1,valid,schema_resolved
derived_marker_required,0,,DEMO,demo,1,valid,schema_resolved
wrong_scalar_type,0,,DEMO,demo,1,valid,schema_resolved
invalid_enumeration,0,,DEMO,demo,1,valid,schema_resolved
aggregate_cardinality,0,,DEMO,demo,1,valid,schema_resolved
aggregate_duplicate,0,,DEMO,demo,1,valid,schema_resolved
unresolved_entity_reference,0,,DEMO,demo,1,valid,schema_resolved
wrong_reference_type,0,,DEMO,demo,2,valid,schema_resolved
select_untyped,0,,DEMO,demo,1,valid,schema_resolved
select_wrong_member,0,,DEMO,demo,1,valid,schema_resolved
inheritance_parameter_order,0,,DEMO,demo,1,valid,schema_resolved
complex_component_order,0,,DEMO,demo,1,valid,schema_resolved
complex_mapping_deferred,0,,DEMO,demo,1,valid,schema_resolved
constant_reference_deferred,0,,DEMO,demo,1,valid,schema_resolved
width_constraint_deferred,0,,DEMO,demo,1,valid,schema_resolved
