fixture,edge_index,source_node_index,source_entity_id,target_node_index,target_entity_id,target_occurrence,target_scope,reference_kind,record_index,parameter_path,start_offset,end_offset,start_byte,end_byte,start_line,start_column,end_line,end_column
branching_orphan,0,0,1,1,2,#2,local_entity,entity,0,0/0,231,233,231,233,8,10,8,12
branching_orphan,1,0,1,2,3,#3,local_entity,entity,0,0/1,234,236,234,236,8,13,8,15
branching_orphan,2,2,3,3,4,#4,local_entity,entity,0,0,261,263,261,263,10,11,10,13
directed_cycles,0,0,1,1,2,#2,local_entity,entity,0,0,230,232,230,232,8,9,8,11
directed_cycles,1,1,2,2,3,#3,local_entity,entity,0,0,243,245,243,245,9,9,9,11
directed_cycles,2,2,3,0,1,#1,local_entity,entity,0,0,256,258,256,258,10,9,10,11
directed_cycles,3,3,4,3,4,#4,local_entity,entity,0,0,269,271,269,271,11,9,11,11
directed_cycles,4,4,5,0,1,#1,local_entity,entity,0,0,282,284,282,284,12,9,12,11
nested_parameter_paths,0,0,1,1,2,#2,local_entity,entity,0,0/0,233,235,233,235,8,12,8,14
nested_parameter_paths,1,0,1,2,3,#3,local_entity,entity,0,0/1/0/0,242,244,242,244,8,21,8,23
nested_parameter_paths,2,0,1,1,2,#2,local_entity,entity,0,0/1/0/1,245,247,245,247,8,24,8,26
multiple_data_sections,0,0,1,1,2,#2,local_entity,entity,0,0,264,266,264,266,8,13,8,15
complex_instance,0,0,1,1,2,#2,local_entity,entity,0,0,231,233,231,233,8,10,8,12
complex_instance,1,0,1,2,3,#3,local_entity,entity,1,0/0,242,244,242,244,8,21,8,23
unresolved_entity,0,0,1,,404,#404,unresolved,entity,0,0,230,234,230,234,8,9,8,13
external_entity,0,0,1,,900,#900,external_entity,entity,0,0,302,306,302,306,11,9,11,13
external_value_and_constant,0,0,1,,,@10,external_value,value,0,0,303,306,303,306,11,12,11,15
external_value_and_constant,1,0,1,,,@PI,schema_constant,constant,0,1,307,310,307,310,11,16,11,19
duplicate_reference_occurrences,0,0,1,1,2,#2,local_entity,entity,0,0,230,232,230,232,8,9,8,11
duplicate_reference_occurrences,1,0,1,1,2,#2,local_entity,entity,0,1,233,235,233,235,8,12,8,14
depth_limited_chain,0,0,1,1,2,#2,local_entity,entity,0,0,230,232,230,232,8,9,8,11
depth_limited_chain,1,1,2,2,3,#3,local_entity,entity,0,0,243,245,243,245,9,9,9,11
depth_limited_chain,2,2,3,3,4,#4,local_entity,entity,0,0,256,258,256,258,10,9,10,11
depth_limited_chain,3,3,4,4,5,#5,local_entity,entity,0,0,269,271,269,271,11,9,11,11
depth_limited_chain,4,4,5,5,6,#6,local_entity,entity,0,0,282,284,282,284,12,9,12,11
