fixture,node_index,entity_id,section_index,section_name,schema_identifier,record_types,is_complex,outbound_edge_count,inbound_edge_count,start_offset,end_offset,start_byte,end_byte,start_line,start_column,end_line,end_column
branching_orphan,0,1,0,,DEMO,ROOT,0,2,0,222,239,222,239,8,1,8,18
branching_orphan,1,2,0,,DEMO,LEAF,0,0,1,240,250,240,250,9,1,9,11
branching_orphan,2,3,0,,DEMO,BRANCH,0,1,1,251,265,251,265,10,1,10,15
branching_orphan,3,4,0,,DEMO,LEAF,0,0,1,266,276,266,276,11,1,11,11
branching_orphan,4,99,0,,DEMO,ORPHAN,0,0,0,277,290,277,290,12,1,12,14
directed_cycles,0,1,0,,DEMO,LINK,0,1,2,222,234,222,234,8,1,8,13
directed_cycles,1,2,0,,DEMO,LINK,0,1,1,235,247,235,247,9,1,9,13
directed_cycles,2,3,0,,DEMO,LINK,0,1,1,248,260,248,260,10,1,10,13
directed_cycles,3,4,0,,DEMO,SELF,0,1,1,261,273,261,273,11,1,11,13
directed_cycles,4,5,0,,DEMO,ROOT,0,1,0,274,286,274,286,12,1,12,13
nested_parameter_paths,0,1,0,,DEMO,HOLDER,0,3,0,222,252,222,252,8,1,8,31
nested_parameter_paths,1,2,0,,DEMO,ITEM,0,0,2,253,263,253,263,9,1,9,11
nested_parameter_paths,2,3,0,,DEMO,ITEM,0,0,1,264,274,264,274,10,1,10,11
multiple_data_sections,0,1,0,left,DEMO_A,ASSEMBLY,0,1,0,252,268,252,268,8,1,8,17
multiple_data_sections,1,2,1,right,DEMO_B,COMPONENT,0,0,1,303,318,303,318,11,1,11,16
complex_instance,0,1,0,,DEMO,BASE|CHILD,1,2,0,222,248,222,248,8,1,8,27
complex_instance,1,2,0,,DEMO,TARGET,0,0,1,249,261,249,261,9,1,9,13
complex_instance,2,3,0,,DEMO,TARGET,0,0,1,262,274,262,274,10,1,10,13
unresolved_entity,0,1,0,,DEMO,ROOT,0,1,0,222,236,222,236,8,1,8,15
external_entity,0,1,0,,DEMO,ROOT,0,1,0,294,308,294,308,11,1,11,15
external_value_and_constant,0,1,0,,DEMO,MEASURE,0,2,0,292,312,292,312,11,1,11,21
duplicate_reference_occurrences,0,1,0,,DEMO,PAIR,0,2,0,222,237,222,237,8,1,8,16
duplicate_reference_occurrences,1,2,0,,DEMO,ITEM,0,0,2,238,248,238,248,9,1,9,11
isolated_nodes,0,1,0,,DEMO,LEFT,0,0,0,222,232,222,232,8,1,8,11
isolated_nodes,1,2,0,,DEMO,RIGHT,0,0,0,233,244,233,244,9,1,9,12
depth_limited_chain,0,1,0,,DEMO,LINK,0,1,0,222,234,222,234,8,1,8,13
depth_limited_chain,1,2,0,,DEMO,LINK,0,1,1,235,247,235,247,9,1,9,13
depth_limited_chain,2,3,0,,DEMO,LINK,0,1,1,248,260,248,260,10,1,10,13
depth_limited_chain,3,4,0,,DEMO,LINK,0,1,1,261,273,261,273,11,1,11,13
depth_limited_chain,4,5,0,,DEMO,LINK,0,1,1,274,286,274,286,12,1,12,13
depth_limited_chain,5,6,0,,DEMO,END_NODE,0,0,1,287,301,287,301,13,1,13,15
