fixture,category,condition,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,node_count,edge_count,local_edge_count,external_edge_count,unresolved_edge_count,constant_edge_count,root_count,isolated_count,cyclic_component_count,traversal_complete,traversal_reason_code,reachable_count,orphan_count,source_sha256
branching_orphan,reachability,branching graph with one root-relative orphan,accept,accept,1,graph_constructed,graph_constructed,5,3,3,0,0,0,2,1,0,1,traversal_complete,4,1,0edda8d8ac4c1bfcba0c472615061b498bfddb993fed9b0dff8178ea2286d54a
directed_cycles,cycles,three-node cycle and one self-loop,accept,accept,1,graph_constructed,graph_constructed,5,5,5,0,0,0,1,0,2,1,traversal_complete,4,1,9561f5fc7aafe4178a8dc5dc3b6e9909dc18fa16d5bf56431bb4119b6b621595
nested_parameter_paths,source_paths,references nested in aggregates and typed parameters,accept,accept,1,graph_constructed,graph_constructed,3,3,3,0,0,0,1,0,0,1,traversal_complete,3,0,1011070275152248783b72e8542467f5f5070baa482bc5e7d0e569ddc2358855
multiple_data_sections,ownership,named DATA sections governed by distinct declared schemas,accept,accept,1,graph_constructed,graph_constructed,2,1,1,0,0,0,1,0,0,1,traversal_complete,2,0,a42fe6ab3cd317af9e8a090868a8fefe2b98dd65450fec469bcb78c843e9962f
complex_instance,record_types,external mapping records retained on one graph node,accept,accept,1,graph_constructed,graph_constructed,3,2,2,0,0,0,1,0,0,1,traversal_complete,3,0,40136f4be88dd4c46ec4123557dd664e633a24b9bd8a512ba5767ac4e0e49d69
unresolved_entity,target_scope,missing local entity target retained as unresolved,accept,accept,1,graph_constructed,graph_constructed,1,1,0,0,1,0,1,1,0,1,traversal_complete,1,0,1be399eeb7200f90cc20068dca4cc6a1efd321ef1b28d29eeefa4b5213df3213
external_entity,target_scope,REFERENCE entity target retained without retrieval,accept,accept,1,graph_constructed,graph_constructed,1,1,0,1,0,0,1,1,0,1,traversal_complete,1,0,e9d1ab8f24b9922ed3436440059435293032903c084dd81195f0e7795cddbf39
external_value_and_constant,target_scope,external value and schema constant references remain nonlocal,accept,accept,1,graph_constructed,graph_constructed,1,2,0,1,0,1,1,1,0,1,traversal_complete,1,0,6b8d73212763d188ab8c3811a150cd07fc9a4d3f1b5d05d71bb61ec81659e34f
duplicate_reference_occurrences,multigraph,two source occurrences produce two edges to one target,accept,accept,1,graph_constructed,graph_constructed,2,2,2,0,0,0,1,0,0,1,traversal_complete,2,0,9121c83b813c5d8c3693d0bf0f29aa7e1e3db1f58da73379978195590ef5374b
isolated_nodes,isolation,two nodes without local reference edges,accept,accept,1,graph_constructed,graph_constructed,2,0,0,0,0,0,2,2,0,1,traversal_complete,1,1,6c952ddb448b7af2362d862209bcdd8a866b4b87f9612af4e4e890b26ee75ba2
depth_limited_chain,query_limits,construction succeeds while traversal reports a depth boundary,accept,accept,1,graph_constructed,graph_constructed,6,5,5,0,0,0,1,0,0,0,traversal_depth_limit,4,,2b37ba5f70cb6e5ff4cde1b349620ba19f18a027cd51ee3dfebafc73fa712c6e
node_budget,construction_limits,entity count exceeds a tighter graph budget,quarantine,quarantine,1,graph_node_limit,graph_node_limit,0,0,0,0,0,0,0,0,0,,not_reached,0,,d3023227ecc807ff8f7476100f908881a075e9704061aec387600e75eb687218
edge_budget,construction_limits,reference occurrences exceed a tighter graph budget,quarantine,quarantine,1,graph_edge_limit,graph_edge_limit,0,0,0,0,0,0,0,0,0,,not_reached,0,,d72326d6b79e6d4f38d5ad29d08267f379ee49a3c4045c758f3cf8bb16007dd2
syntax_failure,parser_boundary,Part 21 syntax failure stops before graph construction,reject,reject,1,unexpected_token,unexpected_token,0,0,0,0,0,0,0,0,0,,not_reached,0,,ae7194ec1b0a901f3a7e7769bcb17ab1016f3a787f4377400c7ac8edabaffb6f
