fixture,query,arguments,status,reason_code,result_count,result_entity_ids
branching_orphan,forward_reachability,1,complete,traversal_complete,4,1|2|3|4
branching_orphan,reverse_reachability,99,complete,traversal_complete,1,99
branching_orphan,zero_indegree_nodes,,complete,query_complete,2,1|99
branching_orphan,isolated_nodes,,complete,query_complete,1,99
branching_orphan,cyclic_components,,complete,query_complete,0,
branching_orphan,root_relative_orphans,1,complete,query_complete,1,99
branching_orphan,entity_type,BRANCH,complete,query_complete,1,3
branching_orphan,entity_type,LEAF,complete,query_complete,2,2|4
branching_orphan,entity_type,ORPHAN,complete,query_complete,1,99
branching_orphan,entity_type,ROOT,complete,query_complete,1,1
directed_cycles,forward_reachability,5,complete,traversal_complete,4,5|1|2|3
directed_cycles,reverse_reachability,5,complete,traversal_complete,1,5
directed_cycles,zero_indegree_nodes,,complete,query_complete,1,5
directed_cycles,isolated_nodes,,complete,query_complete,0,
directed_cycles,cyclic_components,,complete,query_complete,2,1|2|3;4
directed_cycles,root_relative_orphans,5,complete,query_complete,1,4
directed_cycles,entity_type,LINK,complete,query_complete,3,1|2|3
directed_cycles,entity_type,ROOT,complete,query_complete,1,5
directed_cycles,entity_type,SELF,complete,query_complete,1,4
nested_parameter_paths,forward_reachability,1,complete,traversal_complete,3,1|2|3
nested_parameter_paths,reverse_reachability,3,complete,traversal_complete,2,3|1
nested_parameter_paths,zero_indegree_nodes,,complete,query_complete,1,1
nested_parameter_paths,isolated_nodes,,complete,query_complete,0,
nested_parameter_paths,cyclic_components,,complete,query_complete,0,
nested_parameter_paths,root_relative_orphans,1,complete,query_complete,0,
nested_parameter_paths,entity_type,HOLDER,complete,query_complete,1,1
nested_parameter_paths,entity_type,ITEM,complete,query_complete,2,2|3
multiple_data_sections,forward_reachability,1,complete,traversal_complete,2,1|2
multiple_data_sections,reverse_reachability,2,complete,traversal_complete,2,2|1
multiple_data_sections,zero_indegree_nodes,,complete,query_complete,1,1
multiple_data_sections,isolated_nodes,,complete,query_complete,0,
multiple_data_sections,cyclic_components,,complete,query_complete,0,
multiple_data_sections,root_relative_orphans,1,complete,query_complete,0,
multiple_data_sections,entity_type,ASSEMBLY,complete,query_complete,1,1
multiple_data_sections,entity_type,COMPONENT,complete,query_complete,1,2
complex_instance,forward_reachability,1,complete,traversal_complete,3,1|2|3
complex_instance,reverse_reachability,3,complete,traversal_complete,2,3|1
complex_instance,zero_indegree_nodes,,complete,query_complete,1,1
complex_instance,isolated_nodes,,complete,query_complete,0,
complex_instance,cyclic_components,,complete,query_complete,0,
complex_instance,root_relative_orphans,1,complete,query_complete,0,
complex_instance,entity_type,BASE,complete,query_complete,1,1
complex_instance,entity_type,CHILD,complete,query_complete,1,1
complex_instance,entity_type,TARGET,complete,query_complete,2,2|3
unresolved_entity,forward_reachability,1,complete,traversal_complete,1,1
unresolved_entity,reverse_reachability,1,complete,traversal_complete,1,1
unresolved_entity,zero_indegree_nodes,,complete,query_complete,1,1
unresolved_entity,isolated_nodes,,complete,query_complete,1,1
unresolved_entity,cyclic_components,,complete,query_complete,0,
unresolved_entity,root_relative_orphans,1,complete,query_complete,0,
unresolved_entity,entity_type,ROOT,complete,query_complete,1,1
external_entity,forward_reachability,1,complete,traversal_complete,1,1
external_entity,reverse_reachability,1,complete,traversal_complete,1,1
external_entity,zero_indegree_nodes,,complete,query_complete,1,1
external_entity,isolated_nodes,,complete,query_complete,1,1
external_entity,cyclic_components,,complete,query_complete,0,
external_entity,root_relative_orphans,1,complete,query_complete,0,
external_entity,entity_type,ROOT,complete,query_complete,1,1
external_value_and_constant,forward_reachability,1,complete,traversal_complete,1,1
external_value_and_constant,reverse_reachability,1,complete,traversal_complete,1,1
external_value_and_constant,zero_indegree_nodes,,complete,query_complete,1,1
external_value_and_constant,isolated_nodes,,complete,query_complete,1,1
external_value_and_constant,cyclic_components,,complete,query_complete,0,
external_value_and_constant,root_relative_orphans,1,complete,query_complete,0,
external_value_and_constant,entity_type,MEASURE,complete,query_complete,1,1
duplicate_reference_occurrences,forward_reachability,1,complete,traversal_complete,2,1|2
duplicate_reference_occurrences,reverse_reachability,2,complete,traversal_complete,2,2|1
duplicate_reference_occurrences,zero_indegree_nodes,,complete,query_complete,1,1
duplicate_reference_occurrences,isolated_nodes,,complete,query_complete,0,
duplicate_reference_occurrences,cyclic_components,,complete,query_complete,0,
duplicate_reference_occurrences,root_relative_orphans,1,complete,query_complete,0,
duplicate_reference_occurrences,entity_type,ITEM,complete,query_complete,1,2
duplicate_reference_occurrences,entity_type,PAIR,complete,query_complete,1,1
isolated_nodes,forward_reachability,1,complete,traversal_complete,1,1
isolated_nodes,reverse_reachability,2,complete,traversal_complete,1,2
isolated_nodes,zero_indegree_nodes,,complete,query_complete,2,1|2
isolated_nodes,isolated_nodes,,complete,query_complete,2,1|2
isolated_nodes,cyclic_components,,complete,query_complete,0,
isolated_nodes,root_relative_orphans,1,complete,query_complete,1,2
isolated_nodes,entity_type,LEFT,complete,query_complete,1,1
isolated_nodes,entity_type,RIGHT,complete,query_complete,1,2
depth_limited_chain,forward_reachability,1,partial,traversal_depth_limit,4,1|2|3|4
depth_limited_chain,reverse_reachability,6,partial,traversal_depth_limit,4,6|5|4|3
depth_limited_chain,zero_indegree_nodes,,complete,query_complete,1,1
depth_limited_chain,isolated_nodes,,complete,query_complete,0,
depth_limited_chain,cyclic_components,,complete,query_complete,0,
depth_limited_chain,root_relative_orphans,1,not_evaluated,traversal_depth_limit,,
depth_limited_chain,entity_type,END_NODE,complete,query_complete,1,6
depth_limited_chain,entity_type,LINK,complete,query_complete,5,1|2|3|4|5
