scope,metric,value
corpus,fixture_count,13
corpus,expectation_rate,1.000000
corpus,decision_accept,5
corpus,decision_quarantine,4
corpus,decision_reject,4
single_data_control,decision,accept
single_data_control,reason_code,controlled_exchange_structure
multiple_data_sections,decision,accept
multiple_data_sections,reason_code,controlled_exchange_structure
complex_entity_instance,decision,accept
complex_entity_instance,reason_code,controlled_exchange_structure
utf8_binary_values,decision,accept
utf8_binary_values,reason_code,controlled_exchange_structure
anchor_with_tag,decision,accept
anchor_with_tag,reason_code,controlled_exchange_structure
external_reference,decision,quarantine
external_reference,reason_code,external_reference_unresolved
signature_present,decision,quarantine
signature_present,reason_code,signature_unverified
zip_archive,decision,quarantine
zip_archive,reason_code,archive_container_unsupported
