contract_version,sample_id,family_id,perturbation,split,feature_label,supported_feature,source_file,source_sha256,source_bytes,fixture_origin,label_provenance,vertex_count,edge_count,face_count,relation_count,plane_face_count,cylinder_face_count,other_curved_face_count,mean_degree,curved_area_ratio,absolute_volume,surface_area,structural_signature_sha256
1.0.0,plain_block_baseline,plain_block,baseline,train,none,0,benchmark_plain_block_baseline.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,15390,v0.52.0 feature benchmark fixture,repository synthetic construction specification,8,12,6,12,6,0,0,4,0,576,432,77afe1fd25f18313aacc19f4707e8179e09a463ac7a69efb6192e6643eedb0d1
1.0.0,plain_block_small_scale,plain_block,small_scale,train,none,0,benchmark_plain_block_small_scale.step,54e43a23156c69253b0dcb8d39be0c35f712e242f284ba566a1dbf0b27ea59c7,15377,v0.52.0 feature benchmark fixture,repository synthetic construction specification,8,12,6,12,6,0,0,4,0,72,108,77afe1fd25f18313aacc19f4707e8179e09a463ac7a69efb6192e6643eedb0d1
1.0.0,plain_block_rotated_z_30,plain_block,rotated_z_30,train,none,0,benchmark_plain_block_rotated_z_30.step,d1af657245c4c7751f11a71f5c3271aa0409ff041c11d54bc6f991334b56b5bf,15786,v0.52.0 feature benchmark fixture,repository synthetic construction specification,8,12,6,12,6,0,0,4,0,576.00000000001978,432.00000000000898,77afe1fd25f18313aacc19f4707e8179e09a463ac7a69efb6192e6643eedb0d1
1.0.0,plain_block_tolerance_healed,plain_block,tolerance_healed,train,none,0,benchmark_plain_block_tolerance_healed.step,5ef2817d6f80d670dc356b57c09311269a9c6b394f6c8755d1f78fded4a12dfe,15390,v0.52.0 feature benchmark fixture,repository synthetic construction specification,8,12,6,12,6,0,0,4,0,576,432,77afe1fd25f18313aacc19f4707e8179e09a463ac7a69efb6192e6643eedb0d1
1.0.0,through_hole_baseline,through_hole,baseline,train,hole:through,1,benchmark_through_hole_baseline.step,97eebf706ab49d24a40626ed88bfc3b222663fa9878a38b990f2e26c28a2967e,19001,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,14,6,1,0,4,0.10041177474344479,546.54756887259634,469.30641276138192,ad8890d5ed979655258409491adfaa5f3af7bed5074b5ef70ecb07ec83bb1f9c
1.0.0,through_hole_small_scale,through_hole,small_scale,train,hole:through,1,benchmark_through_hole_small_scale.step,652041dc1c00855cc30f854126bfb35f6deb685bd642e7475d67759038da969c,19335,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,14,6,1,0,4,0.10041177474344479,68.318446109074543,117.32660319034548,ad8890d5ed979655258409491adfaa5f3af7bed5074b5ef70ecb07ec83bb1f9c
1.0.0,through_hole_rotated_z_30,through_hole,rotated_z_30,train,hole:through,1,benchmark_through_hole_rotated_z_30.step,9cb6a72d4ca186fa2907149ced7b9b3696355c36a8f566e83a30b15c274be672,19573,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,14,6,1,0,4,0.10041177474344287,546.54756887261601,469.3064127613909,ad8890d5ed979655258409491adfaa5f3af7bed5074b5ef70ecb07ec83bb1f9c
1.0.0,through_hole_tolerance_healed,through_hole,tolerance_healed,train,hole:through,1,benchmark_through_hole_tolerance_healed.step,97eebf706ab49d24a40626ed88bfc3b222663fa9878a38b990f2e26c28a2967e,19001,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,7,14,6,1,0,4,0.10041177474344479,546.54756887259634,469.30641276138192,ad8890d5ed979655258409491adfaa5f3af7bed5074b5ef70ecb07ec83bb1f9c
1.0.0,blind_hole_baseline,blind_hole,baseline,train,hole:blind,1,benchmark_blind_hole_baseline.step,2ba0b742af5bf8874941c2302e82dee76442897a737ed4a30f8b17733d0aa152,19207,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.048439597653280535,565.00442571243605,453.99114857513001,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
1.0.0,blind_hole_small_scale,blind_hole,small_scale,train,hole:blind,1,benchmark_blind_hole_small_scale.step,92d3ae1eefa3131cb1e580418f9856674cb06ce01e6333f37d6c0ef1db08ae50,19543,v0.52.0 feature benchmark fixture,repository synthetic construction specification,10,15,8,14,7,1,0,3.5,0.048439597653280535,70.625553214054506,113.4977871437825,6d7e8b8793f66c3e2721c88cc87c31890c03b9d2faab3e8ee130eec4ac3573ab
