contract_version,control_id,source_file,source_sha256,mesh_condition,requested_linear_deflection,requested_angular_deflection_radians,relative_deflection,parallel_meshing,mesher_status_flags,analysis_face_index,source_entity_id,source_entity_type,source_mapping_method,surface_type,face_orientation,node_count,triangle_count,degenerate_triangle_count,has_uv_nodes,has_normals,stored_deflection,exact_surface_area,mesh_surface_area,signed_area_difference,absolute_area_difference,relative_area_difference,maximum_sampled_surface_deviation,mean_sampled_surface_deviation
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,48,48,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,2,#137,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,3,#213,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,22,22,0,1,0,0,91.091261478765944,91.190341734482786,0.099080255716842203,0.099080255716842203,0.0010877031902773522,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,4,#293,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,5,#342,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,22,22,0,1,0,0,91.091261478765944,91.190341734482786,0.099080255716842203,0.099080255716842203,0.0010877031902773522,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,6,#395,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,48,48,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,7,#402,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,cylinder,reversed,38,36,0,1,0,0.018990308734740911,47.123889803850005,46.885007970071193,-0.23888183377881234,0.23888183377881234,0.0050692299547669293,0.01687868664140884,0.01687868664140213
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_angular,0.80000000000000004,0.25,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,48,48,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_angular,0.80000000000000004,0.25,0,0,0,2,#137,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_angular,0.80000000000000004,0.25,0,0,0,3,#213,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,55,55,0,1,0,0,91.091261478765944,91.103669668827791,0.01240819006184779,0.01240819006184779,0.00013621712840962503,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_angular,0.80000000000000004,0.25,0,0,0,4,#293,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_angular,0.80000000000000004,0.25,0,0,0,5,#342,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,55,55,0,1,0,0,91.091261478765944,91.103669668827791,0.01240819006184779,0.01240819006184779,0.00013621712840962503,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_angular,0.80000000000000004,0.25,0,0,0,6,#395,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,48,48,0,0,0,0,0
