platform_label,observation_id,parent_observation_id,stage,control_id,condition,operation_id,controlled_gap,requested_tolerance,observed_shape_type,vertex_count,edge_count,face_count,shell_count,solid_count,face_component_count,boundary_edge_count,manifold_pair_edge_count,nonmanifold_edge_count,closed_by_incidence,orientable_manifold,current_orientation_consistent,minimum_face_flips,closed_oriented_shell_candidate,kernel_analyzer_valid,vertex_tolerance_min,vertex_tolerance_mean,vertex_tolerance_max,edge_tolerance_min,edge_tolerance_mean,edge_tolerance_max,face_tolerance_min,face_tolerance_mean,face_tolerance_max,surface_area,maximum_face_area_error,maximum_face_centroid_distance,maximum_support_plane_error,face_geometry_matches_control,raw_signed_volume,volume_contract_eligible,volume_magnitude_absolute_error
linux-x64-reference,coincident_box_faces__constructed,,constructed,coincident_box_faces,six independent box faces with coincident boundaries,,0,,compound,24,24,6,0,0,6,24,0,0,0,1,1,0,0,1,1.0000000000000002e-07,1.0000000000000004e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120,0,
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces__constructed,sewn,coincident_box_faces,six independent box faces with coincident boundaries,sew_coincident_box_faces_tol_1e_7,0,9.9999999999999995e-08,shell,8,12,6,1,0,1,0,12,0,1,1,1,0,1,1,1.0000000000000002e-07,1.0000000000000002e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120,1,0
linux-x64-reference,coincident_box_faces__sewn_tol_1e_6,coincident_box_faces__constructed,sewn,coincident_box_faces,six independent box faces with coincident boundaries,sew_coincident_box_faces_tol_1e_6,0,9.9999999999999995e-07,shell,8,12,6,1,0,1,0,12,0,1,1,1,0,1,1,1.0000000000000002e-07,1.0000000000000002e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120,1,0
linux-x64-reference,coincident_box_faces__sewn_tol_1e_4,coincident_box_faces__constructed,sewn,coincident_box_faces,six independent box faces with coincident boundaries,sew_coincident_box_faces_tol_1e_4,0,0.0001,shell,8,12,6,1,0,1,0,12,0,1,1,1,0,1,1,1.0000000000000002e-07,1.0000000000000002e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120,1,0
linux-x64-reference,small_gap_box_faces__constructed,,constructed,small_gap_box_faces,six independent box faces with the top face displaced by 5e-7,,4.9999999999999998e-07,,compound,24,24,6,0,0,6,24,0,0,0,1,1,0,0,1,1.0000000000000002e-07,1.0000000000000004e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120.00000333333334,0,
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces__constructed,sewn,small_gap_box_faces,six independent box faces with the top face displaced by 5e-7,sew_small_gap_box_faces_tol_1e_7,4.9999999999999998e-07,9.9999999999999995e-08,compound,12,16,6,1,0,2,8,8,0,0,1,1,0,0,1,1.0000000000000002e-07,1.0000000000000004e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120.00000333333334,0,
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces__constructed,sewn,small_gap_box_faces,six independent box faces with the top face displaced by 5e-7,sew_small_gap_box_faces_tol_1e_6,4.9999999999999998e-07,9.9999999999999995e-07,shell,8,12,6,1,0,1,0,12,0,1,1,1,0,1,1,1.0000000000000002e-07,3.1249999980354487e-07,5.2499999960708974e-07,9.9999999999999995e-08,2.4166666653569656e-07,5.2499999960708974e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120.00000333333332,0,
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_4,small_gap_box_faces__constructed,sewn,small_gap_box_faces,six independent box faces with the top face displaced by 5e-7,sew_small_gap_box_faces_tol_1e_4,4.9999999999999998e-07,0.0001,shell,8,12,6,1,0,1,0,12,0,1,1,1,0,1,1,1.0000000000000002e-07,3.1249999980354487e-07,5.2499999960708974e-07,9.9999999999999995e-08,2.4166666653569656e-07,5.2499999960708974e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120.00000333333332,0,
linux-x64-reference,large_gap_box_faces__constructed,,constructed,large_gap_box_faces,six independent box faces with the top face displaced by 5e-5,,5.0000000000000002e-05,,compound,24,24,6,0,0,6,24,0,0,0,1,1,0,0,1,1.0000000000000002e-07,1.0000000000000004e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120.00033333333333,0,
linux-x64-reference,large_gap_box_faces__sewn_tol_1e_7,large_gap_box_faces__constructed,sewn,large_gap_box_faces,six independent box faces with the top face displaced by 5e-5,sew_large_gap_box_faces_tol_1e_7,5.0000000000000002e-05,9.9999999999999995e-08,compound,12,16,6,1,0,2,8,8,0,0,1,1,0,0,1,1.0000000000000002e-07,1.0000000000000004e-07,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,148,0,0,0,1,120.00033333333333,0,
