platform_label,observation_id,control_id,stage,entity_type,analysis_local_index,tolerance
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,1,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,2,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,3,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,4,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,5,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,6,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,7,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,8,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,9,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,10,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,11,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,12,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,13,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,14,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,15,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,16,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,17,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,18,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,19,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,20,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,21,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,22,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,vertex,23,1.0000000000000002e-07
