contract_version,control_id,source_kind,source_index,query_scope,direct_result_indices,generated_result_indices,modified_result_indices,is_deleted,modified_is_split,modified_target_max_source_count
1.0.0,edge_fillet_r1,vertex,1,Generated(vertex),vertex:7,,,,,
1.0.0,edge_fillet_r1,vertex,2,Generated(vertex),vertex:6,,,,,
1.0.0,edge_fillet_r1,vertex,3,Generated(vertex),vertex:10,,,,,
1.0.0,edge_fillet_r1,vertex,4,Generated(vertex),vertex:9,,,,,
1.0.0,edge_fillet_r1,vertex,5,Generated(vertex),,,,,,
1.0.0,edge_fillet_r1,vertex,6,Generated(vertex),vertex:2,,,,,
1.0.0,edge_fillet_r1,vertex,7,Generated(vertex),,,,,,
1.0.0,edge_fillet_r1,vertex,8,Generated(vertex),vertex:4,,,,,
1.0.0,edge_fillet_r1,edge,1,Generated(edge),edge:8,,,,,
1.0.0,edge_fillet_r1,edge,2,Generated(edge),edge:15,,,,,
1.0.0,edge_fillet_r1,edge,3,Generated(edge),edge:14,,,,,
1.0.0,edge_fillet_r1,edge,4,Generated(edge),edge:11,,,,,
1.0.0,edge_fillet_r1,edge,5,Generated(edge),,,,,,
1.0.0,edge_fillet_r1,edge,6,Generated(edge),,face:3,,,,
1.0.0,edge_fillet_r1,edge,7,Generated(edge),,,,,,
1.0.0,edge_fillet_r1,edge,8,Generated(edge),edge:3,,,,,
1.0.0,edge_fillet_r1,edge,9,Generated(edge),edge:6,,,,,
1.0.0,edge_fillet_r1,edge,10,Generated(edge),,,,,,
1.0.0,edge_fillet_r1,edge,11,Generated(edge),edge:12,,,,,
1.0.0,edge_fillet_r1,edge,12,Generated(edge),,,,,,
1.0.0,edge_fillet_r1,face,1,Modified(face)|IsDeleted(face),face:7,,,0,0,0
1.0.0,edge_fillet_r1,face,2,Modified(face)|IsDeleted(face),,,face:1,0,0,1
1.0.0,edge_fillet_r1,face,3,Modified(face)|IsDeleted(face),,,face:2,0,0,1
1.0.0,edge_fillet_r1,face,4,Modified(face)|IsDeleted(face),,,face:5,0,0,1
1.0.0,edge_fillet_r1,face,5,Modified(face)|IsDeleted(face),face:4,,,0,0,0
1.0.0,edge_fillet_r1,face,6,Modified(face)|IsDeleted(face),,,face:6,0,0,1
1.0.0,edge_chamfer_d1,vertex,1,Generated(vertex),vertex:7,,,,,
1.0.0,edge_chamfer_d1,vertex,2,Generated(vertex),vertex:6,,,,,
1.0.0,edge_chamfer_d1,vertex,3,Generated(vertex),vertex:10,,,,,
1.0.0,edge_chamfer_d1,vertex,4,Generated(vertex),vertex:9,,,,,
1.0.0,edge_chamfer_d1,vertex,5,Generated(vertex),,,,,,
1.0.0,edge_chamfer_d1,vertex,6,Generated(vertex),vertex:2,,,,,
1.0.0,edge_chamfer_d1,vertex,7,Generated(vertex),,,,,,
1.0.0,edge_chamfer_d1,vertex,8,Generated(vertex),vertex:4,,,,,
1.0.0,edge_chamfer_d1,edge,1,Generated(edge),edge:8,,,,,
1.0.0,edge_chamfer_d1,edge,2,Generated(edge),edge:15,,,,,
1.0.0,edge_chamfer_d1,edge,3,Generated(edge),edge:14,,,,,
1.0.0,edge_chamfer_d1,edge,4,Generated(edge),edge:11,,,,,
1.0.0,edge_chamfer_d1,edge,5,Generated(edge),,,,,,
1.0.0,edge_chamfer_d1,edge,6,Generated(edge),,face:3,,,,
1.0.0,edge_chamfer_d1,edge,7,Generated(edge),,,,,,
1.0.0,edge_chamfer_d1,edge,8,Generated(edge),edge:3,,,,,
1.0.0,edge_chamfer_d1,edge,9,Generated(edge),edge:6,,,,,
1.0.0,edge_chamfer_d1,edge,10,Generated(edge),,,,,,
1.0.0,edge_chamfer_d1,edge,11,Generated(edge),edge:12,,,,,
1.0.0,edge_chamfer_d1,edge,12,Generated(edge),,,,,,
1.0.0,edge_chamfer_d1,face,1,Modified(face)|IsDeleted(face),face:7,,,0,0,0
1.0.0,edge_chamfer_d1,face,2,Modified(face)|IsDeleted(face),,,face:1,0,0,1
1.0.0,edge_chamfer_d1,face,3,Modified(face)|IsDeleted(face),,,face:2,0,0,1
1.0.0,edge_chamfer_d1,face,4,Modified(face)|IsDeleted(face),,,face:5,0,0,1
1.0.0,edge_chamfer_d1,face,5,Modified(face)|IsDeleted(face),face:4,,,0,0,0
1.0.0,edge_chamfer_d1,face,6,Modified(face)|IsDeleted(face),,,face:6,0,0,1
