platform_label,stage,control_id,vertex_index,x,y,z,incident_edge_count,incident_face_count,link_arc_count,link_component_count,degree_one_count,maximum_degree,classification
linux-x64-reference,constructed,valid_tetrahedron,1,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,valid_tetrahedron,2,0,2,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,valid_tetrahedron,3,2,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,valid_tetrahedron,4,0,0,2,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,valid_tetrahedron,1,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,valid_tetrahedron,2,0,2,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,valid_tetrahedron,3,2,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,valid_tetrahedron,4,0,0,2,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,pinched_tetrahedra,1,0,0,0,6,6,6,2,0,2,nonmanifold
linux-x64-reference,constructed,pinched_tetrahedra,2,0,2,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,pinched_tetrahedra,3,2,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,pinched_tetrahedra,4,0,0,2,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,pinched_tetrahedra,5,-2,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,pinched_tetrahedra,6,0,-2,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,pinched_tetrahedra,7,0,0,-2,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,pinched_tetrahedra,1,0,0,0,6,6,6,2,0,2,nonmanifold
linux-x64-reference,step_imported,pinched_tetrahedra,2,0,2,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,pinched_tetrahedra,3,2,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,pinched_tetrahedra,4,0,0,2,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,pinched_tetrahedra,5,-2,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,pinched_tetrahedra,6,0,-2,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,pinched_tetrahedra,7,0,0,-2,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,nonmanifold_fan,1,0,0,0,4,3,3,1,3,3,nonmanifold
linux-x64-reference,constructed,nonmanifold_fan,2,3,0,0,4,3,3,1,3,3,nonmanifold
linux-x64-reference,constructed,nonmanifold_fan,3,0,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,nonmanifold_fan,4,0,0,2,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,nonmanifold_fan,5,0,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,nonmanifold_fan,1,0,0,0,4,3,3,1,3,3,nonmanifold
linux-x64-reference,step_imported,nonmanifold_fan,2,3,0,0,4,3,3,1,3,3,nonmanifold
linux-x64-reference,step_imported,nonmanifold_fan,3,0,0,2,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,nonmanifold_fan,4,0,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,nonmanifold_fan,5,0,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,disjoint_boxes,1,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,2,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,3,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,4,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,5,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,6,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,7,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,8,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,9,5,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,10,5,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,11,5,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,12,5,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,13,9,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,14,9,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,15,9,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,disjoint_boxes,16,9,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,1,0,0,0,3,3,3,1,0,2,closed_manifold
