pattern,placement,blur_sigma,configuration,window_size,stride,metric,window_count,positive_window_count,max_window_coverage,minimum_ratio,minimum_ratio_window_coverage,best_coverage_ratio,average_precision
checkerboard,aligned,1,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.075094,1.000000,0.075094,1.000000
checkerboard,aligned,1,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.414349,1.000000,0.414349,1.000000
checkerboard,aligned,1,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.075094,1.000000,0.075094,1.000000
checkerboard,aligned,1,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.414349,1.000000,0.414349,1.000000
checkerboard,aligned,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.107368,1.000000,0.107368,1.000000
checkerboard,aligned,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.422705,1.000000,0.422705,1.000000
checkerboard,aligned,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.758532,0.250000,0.758532,
checkerboard,aligned,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.852570,0.250000,0.852570,
checkerboard,aligned,2,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.014745,1.000000,0.014745,1.000000
checkerboard,aligned,2,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.138178,1.000000,0.138178,1.000000
checkerboard,aligned,2,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.014745,1.000000,0.014745,1.000000
checkerboard,aligned,2,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.138178,1.000000,0.138178,1.000000
checkerboard,aligned,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.024555,1.000000,0.024555,1.000000
checkerboard,aligned,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.146409,1.000000,0.146409,1.000000
checkerboard,aligned,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.743457,0.250000,0.743457,
