pattern,placement,region_top,region_left,region_size,blur_sigma,configuration,window_size,stride,window_row,window_column,row_start,column_start,coverage_fraction,is_positive,laplacian_variance_reference,laplacian_variance_observed,laplacian_variance_ratio,tenengrad_energy_reference,tenengrad_energy_observed,tenengrad_energy_ratio
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,0,0,0,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,0,1,0,64,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,0,2,0,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,0,3,0,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,1,0,64,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,1,1,64,64,1.000000,1,34671.533203,2603.626953,0.075094,380497.851562,157658.806641,0.414349
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,1,2,64,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,1,3,64,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,2,0,128,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,2,1,128,64,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,2,2,128,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,2,3,128,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,3,0,192,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,3,1,192,64,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,3,2,192,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,nonoverlap_64,64,64,3,3,192,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,0,0,0,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,0,1,0,32,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,0,2,0,64,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,0,3,0,96,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,0,4,0,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,0,5,0,160,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,0,6,0,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,1,0,32,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,1,1,32,32,0.250000,0,34671.533203,26130.703613,0.753664,380497.851562,324431.261230,0.852649
checkerboard,aligned,64,64,64,1,overlap_64,64,32,1,2,32,64,0.500000,1,34671.533203,18108.136719,0.522277,380497.851562,268765.844727,0.706353
checkerboard,aligned,64,64,64,1,overlap_64,64,32,1,3,32,96,0.250000,0,34671.533203,26130.703613,0.753664,380497.851562,324431.261230,0.852649
checkerboard,aligned,64,64,64,1,overlap_64,64,32,1,4,32,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,1,5,32,160,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,1,6,32,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,2,0,64,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
