configuration,window_size,stride,noise_std,metric,observations,average_precision_mean,average_precision_sample_std,average_precision_p10,average_precision_p90,minimum_ratio_mean,minimum_ratio_sample_std,minimum_window_coverage_mean
overlap_64,64,32,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,0.005765,0.005258,1.000000
overlap_64,64,32,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,0.061776,0.047916,1.000000
overlap_64,64,32,5,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,0.027440,0.014997,1.000000
overlap_64,64,32,5,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,0.063913,0.048164,1.000000
overlap_64,64,32,15,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,0.200820,0.091827,1.000000
overlap_64,64,32,15,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,0.081578,0.049819,1.000000
fine_32,32,16,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,0.010108,0.009953,1.000000
fine_32,32,16,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,0.066567,0.053243,1.000000
fine_32,32,16,5,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,0.031808,0.021571,1.000000
fine_32,32,16,5,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,0.068045,0.053129,1.000000
fine_32,32,16,15,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,0.207019,0.114747,1.000000
fine_32,32,16,15,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,0.085442,0.055590,1.000000
