pattern,noise_std,trial,seed,configuration,window_size,stride,metric,positive_window_count,minimum_ratio,minimum_ratio_window_coverage,average_precision
checkerboard,0,0,20260922,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,0,20260922,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,0,20260922,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,0,20260922,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,1,20260923,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,1,20260923,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,1,20260923,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,1,20260923,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,2,20260924,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,2,20260924,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,2,20260924,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,2,20260924,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,3,20260925,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,3,20260925,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,3,20260925,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,3,20260925,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,4,20260926,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,4,20260926,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,4,20260926,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,4,20260926,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,5,20260927,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,5,20260927,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,5,20260927,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,5,20260927,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,6,20260928,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,6,20260928,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,6,20260928,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,6,20260928,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,7,20260929,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,7,20260929,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,7,20260929,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,7,20260929,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,8,20260930,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,8,20260930,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,8,20260930,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,8,20260930,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,0,9,20260931,overlap_64,64,32,laplacian_variance,5,0.003138,1.000000,1.000000
checkerboard,0,9,20260931,overlap_64,64,32,tenengrad_energy,5,0.029503,1.000000,1.000000
checkerboard,0,9,20260931,fine_32,32,16,laplacian_variance,21,0.005220,1.000000,1.000000
checkerboard,0,9,20260931,fine_32,32,16,tenengrad_energy,21,0.031603,1.000000,1.000000
checkerboard,5,0,20261922,overlap_64,64,32,laplacian_variance,5,0.017478,1.000000,1.000000
checkerboard,5,0,20261922,overlap_64,64,32,tenengrad_energy,5,0.030658,1.000000,1.000000
checkerboard,5,0,20261922,fine_32,32,16,laplacian_variance,21,0.019824,1.000000,1.000000
checkerboard,5,0,20261922,fine_32,32,16,tenengrad_energy,21,0.032314,1.000000,1.000000
checkerboard,5,1,20261923,overlap_64,64,32,laplacian_variance,5,0.017267,1.000000,1.000000
checkerboard,5,1,20261923,overlap_64,64,32,tenengrad_energy,5,0.030983,1.000000,1.000000
checkerboard,5,1,20261923,fine_32,32,16,laplacian_variance,21,0.021291,1.000000,1.000000
checkerboard,5,1,20261923,fine_32,32,16,tenengrad_energy,21,0.032465,1.000000,1.000000
checkerboard,5,2,20261924,overlap_64,64,32,laplacian_variance,5,0.016825,1.000000,1.000000
checkerboard,5,2,20261924,overlap_64,64,32,tenengrad_energy,5,0.031006,1.000000,1.000000
checkerboard,5,2,20261924,fine_32,32,16,laplacian_variance,21,0.020374,1.000000,1.000000
checkerboard,5,2,20261924,fine_32,32,16,tenengrad_energy,21,0.032873,1.000000,1.000000
checkerboard,5,3,20261925,overlap_64,64,32,laplacian_variance,5,0.018060,1.000000,1.000000
checkerboard,5,3,20261925,overlap_64,64,32,tenengrad_energy,5,0.031089,1.000000,1.000000
checkerboard,5,3,20261925,fine_32,32,16,laplacian_variance,21,0.021658,1.000000,1.000000
