platform_label,stage,face_id,sample_id,u,v,expected_state,observed_state,matches
linux-x64-reference,constructed,planar_frame_forward,material,-3,0,inside,inside,1
linux-x64-reference,constructed,planar_frame_forward,hole,0,0,outside,outside,1
linux-x64-reference,constructed,planar_frame_forward,exterior,5,0,outside,outside,1
linux-x64-reference,constructed,planar_frame_forward,outer_boundary,4,0,on_boundary,on_boundary,1
linux-x64-reference,constructed,planar_frame_forward,inner_boundary,2,0,on_boundary,on_boundary,1
linux-x64-reference,constructed,planar_frame_reversed,material,-3,0,inside,inside,1
linux-x64-reference,constructed,planar_frame_reversed,hole,0,0,outside,outside,1
linux-x64-reference,constructed,planar_frame_reversed,exterior,5,0,outside,outside,1
linux-x64-reference,constructed,planar_frame_reversed,outer_boundary,4,0,on_boundary,on_boundary,1
linux-x64-reference,constructed,planar_frame_reversed,inner_boundary,2,0,on_boundary,on_boundary,1
linux-x64-reference,constructed,closed_cylinder,material,3.1415926535897931,0,inside,inside,1
linux-x64-reference,constructed,closed_cylinder,exterior_v,3.1415926535897931,3,outside,outside,1
linux-x64-reference,constructed,closed_cylinder,top_boundary,3.1415926535897931,2,on_boundary,on_boundary,1
linux-x64-reference,constructed,natural_sphere,material,3.1415926535897931,0,inside,inside,1
linux-x64-reference,constructed,natural_sphere,south_pole,3.1415926535897931,-1.5707963267948966,on_boundary,on_boundary,1
linux-x64-reference,constructed,natural_sphere,north_pole,3.1415926535897931,1.5707963267948966,on_boundary,on_boundary,1
linux-x64-reference,step_imported,planar_frame_forward,material,-3,0,inside,inside,1
linux-x64-reference,step_imported,planar_frame_forward,hole,0,0,outside,outside,1
linux-x64-reference,step_imported,planar_frame_forward,exterior,5,0,outside,outside,1
linux-x64-reference,step_imported,planar_frame_forward,outer_boundary,4,0,on_boundary,on_boundary,1
linux-x64-reference,step_imported,planar_frame_forward,inner_boundary,2,0,on_boundary,on_boundary,1
linux-x64-reference,step_imported,planar_frame_reversed,material,-3,0,inside,inside,1
linux-x64-reference,step_imported,planar_frame_reversed,hole,0,0,outside,outside,1
linux-x64-reference,step_imported,planar_frame_reversed,exterior,5,0,outside,outside,1
linux-x64-reference,step_imported,planar_frame_reversed,outer_boundary,4,0,on_boundary,on_boundary,1
linux-x64-reference,step_imported,planar_frame_reversed,inner_boundary,2,0,on_boundary,on_boundary,1
linux-x64-reference,step_imported,closed_cylinder,material,3.1415926535897931,0,inside,inside,1
linux-x64-reference,step_imported,closed_cylinder,exterior_v,3.1415926535897931,3,outside,outside,1
linux-x64-reference,step_imported,closed_cylinder,top_boundary,3.1415926535897931,2,on_boundary,on_boundary,1
linux-x64-reference,step_imported,natural_sphere,material,3.1415926535897931,0,inside,inside,1
linux-x64-reference,step_imported,natural_sphere,south_pole,3.1415926535897931,-1.5707963267948966,on_boundary,on_boundary,1
linux-x64-reference,step_imported,natural_sphere,north_pole,3.1415926535897931,1.5707963267948966,on_boundary,on_boundary,1
