scope,metric,value
fixture,face_count,4
fixture,wire_count,6
fixture,outer_wire_count,4
fixture,inner_wire_count,2
fixture,edge_occurrence_count,24
fixture,degenerate_occurrence_count,2
fixture,seam_occurrence_count,4
exchange,constructed_valid,1
exchange,imported_valid,1
exchange,step_advanced_face_count,4
exchange,step_face_outer_bound_count,0
exchange,step_face_bound_count,6
exchange,step_edge_loop_count,5
exchange,step_seam_curve_count,1
exchange,step_degenerate_pcurve_count,0
constructed,orientation_match_count,4
constructed,max_face_area_absolute_error,0
constructed,max_centroid_distance,1.3890526868099963e-16
constructed,max_restricted_uv_absolute_error,0
constructed,max_signed_uv_area_absolute_error,0
constructed,max_uv_connection_gap,0
constructed,max_vertex_distance,0
constructed,classification_match_count,16
constructed,classification_count,16
constructed,wire_defect_count,0
step_imported,orientation_match_count,4
step_imported,max_face_area_absolute_error,3.3111291486420669e-12
step_imported,max_centroid_distance,1.3145041182267746e-13
step_imported,max_restricted_uv_absolute_error,4.1389114358025836e-13
step_imported,max_signed_uv_area_absolute_error,8.2778228716051672e-13
step_imported,max_uv_connection_gap,4.1389114358025836e-13
step_imported,max_vertex_distance,0
step_imported,classification_match_count,16
step_imported,classification_count,16
step_imported,wire_defect_count,0
